a1t,a2t,a3t,a4t_a,a4t_b,a5t,a6t_a,a6t_b,a7t
corazon,amor,mascota,No,en si tiene buen sentido pero este no es literal por que una pelota no canta por que no tiene vida pero en un sentido mas figurado si lo tiene y este es muy utilizado en poesia y fragmentos,que el nino grita mucho y este se expresa mas comun de esta forma,una mascota o hasta la propia cabeza del poeta,por que estas cosas tienen pelo,la razon por que yo puse amor en esta es por que este es muy valioso pero pocos lo valoran
hermano,la hermana,perro,Si,por que en cierta forma se refiere a alguna persona que canta,por que quiere decir que el hermano es muy griton,la cabeza XD,por que es redonda y tiene pelos,por que es muy valiosa
sol,yo,un gato,No,no tiene logica,que grita mucho,un perro,porque esta peludo,porque soy brillante
sol,un goya,mi gato,No,por que es una tonteria,moleta mucho,mi gato,esta muipeludo,tonteria
mi hermano,la nina,mi mascota,No,las pelotas no cantan que el,es su apodo,un dulce,es duro,es de plata
internet,escultura de plata,cabello,No,las pelotas no hablan ni nada de esas cosas,que su hermano tiene muchos grillos,una bola de pelos de gato,los gatos escupen bolas de pelos,que es una escultura de plata
sol,moneda,estambre,No,porque no tiene sentido a que una pelota cante,que grita mucho y el piensa que es una pelota,un gato o los pelos de la cabeza,xq tienen pelos y se enredad y puede ser una pelota de pelos,que es algun objeto que vale mucho y es valioso como la pelota
BALON,TIENE UN SIGNIFICADO IMPORTante,PERRO,No,NO TIENE UNA RIMA O SIGNIFICADO CON ESAS PALABRAS,ES MUY LATOSO,LA CABEZA,POR QUE TIENE MUCHO PELLO,TIENE UN SIGNIFICADO IMPORTANTE PARA UNO MISMO
sol,la luna,gato,Si,por que tienen un termino semejante,Que esta gordito y se la pasa gritando,un conejo,por que esta peludo,algo que sea semejante a una pelota de plata
Joven,El trofeo,Gato,No,Porque las pelotas no canta,Que se la pasa gritando,Un bola de cabello,porque es peluda,La plata
el no es una peota de fego,el es ua pelota de plata,mi tia es ua pelota de pelos,No,o entiendo logica a la frase,que el tiene la peota y no se la quieren dar y grita,una pelta ue la isieron de muchsnpelos,por que la nesesitavan,pues es una pelta coor plata y my chica
cometa,el mundo,estambre,No,"porque en primer lugar es una persona y ademas no tendria mucho sentido con una pelota pero con ""canta"" se puede referir a las melodias que cante la senora",yo supongo que quiere decir que es un nino que grita bastante como un nino de 5 o 4 anos,no se solo se me ocurre estambre,porque el estambre es un hilo que se despela mucho y eso causa que paresca que tiene pelos aparte se enredan los pelos en el estambre,"bueno yo supongo que habla de algo muy valioso como el mundo, una moneda o una esfera"
sol,moneda,perro,Si,por que cantaba,mi sobrina,una bola de estabre,por que so para jugar con pelos,la moneda es de plata
sol,la moneda,mascota,No,por que es una frase que no tiene sentido,que mi hermanito es muy griton,primera podia ser un gato,no se,podia ser una moneda de plata o una cadenita de plata
sol,moneda,cabeza,Si,porque rima,que mi hermano grita mucho,un gato,los gatos pueden jugar con bola de estambre,no se
el sol,la luna,el gato,No,porque las pelotas no cantan,que grita mucho mi hermano,mi perro,por que esta lleno de pelos,que esta circular y brilla mucho
sol,la luna,gato,No,"por que una pelota no canta,es mas no habla",quiere decir que mi hermanito grita demasiado,mi perro,por que los perros tienen mucho pelo xdxd,por que es color gris y es muy valiosa para nosotros e importante
balon,que,mente,Si,por que la misma palabra es,pues se refiere a que tu hermana es la otra parte para ti,pues yo digo que sera como mi entiligensia,pues yo digo por que es como la cabeza,pues que es todo tu efuerzo lo que ases
Balon,la pelota,pelota,No,por que las pelotas no tienen sonido,mi hermano grita muho como bota una pelota,una pelota de oro,por que es de oro,es muy valiosa
senor,senor,pelota,No,porque no puede cantar porque no tiene vida propia,que grita mucho,un perro,porque tiene pelo,pelota hecha de plata o color plata
senor,nino,gato,No,la pelota salta no canta,se la pasa gritando,un pelota hecha de pelos,por como esta hecha,algo hecho de plata
sol,la luna,perro,No,las pelotas no hablan,que su hermano grita mucho o es muy ruidoso,una cabeza,la mayoria tiene muchos pelos,"la luna es redonda y es color gris,plateado"
incendio,el mundo,cabesa,Si,"porque talves sea una cantante y la esta relacionando con una pelota 
","que su hermano grita mucho
",un gato,porque tienen muchos pelos,"que vale mucho dinero
"
Mundo,La vida,Vida,Si,Porque se esta refiriendo a que la mama canta,Que su hermano grita mucho,Una cabeza muy grenuda,Porque asi esta la cabeza de mi mama. muy grenuada,Que es valiosa
mi novio,mi abuelita,mi perrito,Si,por que puedo interpretarlo como un integrante de mi familia el cual le gusta mucho cantar,"mi hermano es muy griton,escandaloso y travieso",mi cabello enredado,por que no lo he cepillando,mi abuelita por que es alguien que todos queremos mucho
joven,ella,perro,No,por que ninguna pelota cuando la rebotas no canta,que mi hermano siempre esta gritando,mi cepillo,por que aveces se te cae el cabello,ella es binita que parece que es de plata
balon,mi casa,cepillo,Si,"porque no lo usan en sentido literal, lo usan como metafora",que su hermano es un nino super griton,mi cabello,porque lo conforma una multitud de pelos,que mi casa es un lugar muy bonito y muy balioso tanto como la plata
sol,la luna,mascota,Si,"porque las mamas siempre tratan de verle el lado bueno a las cosas y son muy alegres, y cuando cantas te sientes feliz",que los hermanos te pueden molestar o normalmente te peleas con ellos,un peluche,porque son peludos,la luna porque es plateada y es redonda como una pelota
sol,luna,cabeza,No,Es un objeto y no puede hacer eso,mi hermano cada vez que grita se vuelve muy constante,un animal como puercoespin,"es redondo y podria parecer que tiene pelos pero no, tiene espinas",es algo redondo pero muy valioso
sol,la luna,cabeza,Si,tal vez se refiere a una persona que canta pero en sentido figurado.,un nino que siempre trata de llamar la atencion con gritos.,un animal.,porque tiene pelos.,pues podria ser la luna porque es redonda y de color gris.
malvavisco quemado,mi premio,hamster,No,por que no concuerda,que su hermano grita mucho,la cabeza de mi amiga,por que tiene mucho cabello chino,un premio de un juego de futbol
senor,el dinero,perro,No,por que es ilogico pero en este caso se refieren a personas,por molesto y castroso,una mascota como un perro,por los pelos,refiriendose a el dinero
Sol,La moneda,Cabeza,Si,Porque quiere decir que yo soy una pelota y yo puedo cantar.,Que su hermanito grita mucho.,La cabeza de un perro.,Porque tiene pelos y su craneo es semi circular como las pelotas.,Las monedas son circulares y tienen plata.
sol,la moneda,cabeza,No,no hablan los objetos,que es un nino gordito como pelota que grita mucho,la cola del conejo,es un pelota blanca de pelos,que es una pelota de color blanco
la lumbre,la canica,mascota,No,Por que no hace una referencia concreta a que se refiere,"La referencia da a que el hermano grita mucho pero es como si le hubieran puesto como tipo sobrante ""Pelota""",Un perro,Por que pues es un animal muy peludo,Es como si hiciera una referencia a algo valioso o importante
sol,moneda,molote,No,prque las pelotas no tienen sonido,que es muy griton,pelota de tenis,por que es de tela,es una moneda que tiene valor y cuesta mucho
huevo cosido,un huevo,mascota,No,por que no entiendo,que se altera rapido,mi cabesa,por que tengo cabello,puez por que asi lo es un huevo
vesino,mi tio,papa,Si,por que la mama canta,que siempre grita por todo,mi hermano,por que el hace fue,mi abuela
Sol,la luna,gato,No,"no le encuntro logica con la frase ""mi mama es una pelota que canta""",mi hermanito en un nino que grita mucho,no lo se,.......,pelota pesada o brillante
Sol,la luna,gato,No,"las pelotas no pueden cantar o hablar, ya que son objetos",que su hermano grita mucho,la cabeza u otro animal,porque ambos tiene muchos pelos,"puse ""la luna"" porque es redonda y su color parece un plata"
fuerte,el,gato,Si,porque no se refiere que es una pelota si no que canta mucho esa persona,que siempre grita mucho,alguien que tiene muchos problemas,se enreda mucho,que es muy valioso
vecino,mi papa,perro,Si,porque esta explicando que su mama canta,que el nunca deja de gritar,un mapache,porque es peludo,su hermana tiene mucho dinero por eso ella es una pelota de plata
oro,el,papa,No,Por que no es posible y no tiene un contexto que lo justifique.,"Simplemente que su hermano es una persona muy gritona, pelota se refiere a cabeza.",nada,no es posible.,El puede ser una referencia de cualquier persona antes de empezar con su familia.
mango,metal,cabello,No,porque las pelotas son juguetes como mi corazon,que esta gordo y le gusta gritar,un gusano peludo gordo,no c bro disculpa :v,no lo c bro disculpa :V
meteorito,Una medallla,mascota,No,Es ilogico,Mi hermano grita por todo,Un jugete quita estres,Es muy suave,Algo muy valioso
sol,la luna,cabeza,Si,porque puede ser un persona,que los ninos pueden hacer mucho ruido,un coco sus ramas pequenas hacen que parezcan cabellos,sus ramas pequenas hacen que paresa cabello,que la luna tiene u tono gris
sol,luna,estambre,Si,por que lleva un cierto son y coincide,es muy ruidoso,una enorme bola de chicles xd,por que se le puede pegar todo lo que tenga cerca,"que es algo valiosa y se puede jugar con ella
"
no entiendo,si,talvez,Si,no logro entender,a qiere,no se,no logro entender,que la pelota es dorada
senor,casi,mi colchon,No,por que no riman nada,por que grita a cada rato,mi perro,por que sueltan muchos pelos,no se
boliche,La bola,perro,No,Por que no hablan,Que grita mucho,Una bola verde,Por que tiene pelos,Que puede ser una bola
balon,el balon,cabello,No,por que las pelotas no cantan,por que siempre esta gritando,un gato,por que esta lleno de pelo en todo su cuerpo,que tiene mucho valor aquel objeto
sol,la luna,mi cabeza,Si,si por que dice que su mama es la pelota que canta,que su hermano se la pasa gritando,un perro o gato,por que son peludos,que la luna es plateada
sol,como,mascota,Si,puede ser cantada por una persona,que es una persona muy reganona y grita,mi amistad,por q es bonito la amistad,tiene q ver con todo
sol,el balon,perro,No,por que para mi una pelota no tiene boca ni nada de eso,que para mi es muy latoso,mi cabello,por que se me enreda muy facilmente,que te ganaste un trofeo en forma de una pelota de plata
balon,trofeo,juguete,No,por que las pelotas no cantan,mi hermano grita mucho,un pompon,por que es una volita con pelos,es una pelota que esta hecha de plata
nino,mi hermano,prima,No,por no ay pelotas q canten,q mi hermanito es muy griton en forma de pelota,de que es muy buena onda,es muy buena onda,de que es una pelota de playa
cabello,papa,perro,No,porque ninguna pregunta habla,que siempre esta gritando,cepillo,porque siempre se queda ahi el cabello,muy importa delicda especia o etc
sol,mi hermana,Perro,Si,por que rima,que el hermano es muy expresivo,mi gato,por que tiene pelaje,por que mi hermana vale mucho para mi
dragon,la pelota,peluche,No,no le veo sentido,que llora mucho,un nudo de pelos,npse,una pelota de plata
sol,luna,gato,Si,una nina cantante,que grita mucho,un perro,Porque estan peludos,la luna es color plata
sol,la luna,gato,No,porque las pelotas son objetos y no cantan,que siempre anda brincando y gritando,una enredadera de pelos,porque se hace una bola y es de pelos,es que es un circulo gris que brilla en la noche
sol,La luna,cabello,No,Porque se refiere a una persona como pelota,que su hermano grita mucho,hamster,porque tiene mucho pelo y esta redondo,la luna es de color plateada o gris y tiene forma redonda
sol,la luna,perro,No,Las pelotas no cantan.,El nino grita mucho o habla de mas,Algun otro animal podria funcionar,A eso me suena una pelota de pelos,Cuando lo lei me parecio a la luna por la primera oracion que dice que el sol es una pelota de fuego
sol,la luna,perro,Si,porque describe una caracteristica de la mama,que su hermanito grita mucho,el cabello,porque el craneo esta redondeada por la parte en la que sale el pelo,la luna es color plata
sol,la moneda,gato,Si,se refiere a una persona que canta,es una persona gordita que grita,un animal como un gato o un perro,aveces se le dice bola de pelos a los animales,la moneda es circular como una pelota y esta hecha de plata
calor,el aire,gato,Si,Se refiere a que su mama canta.,Se refiere a que su hermano es muy inquieto.,Un perro.,Porque se refiere a un animal o mascota.,Porque el aire es valioso.
sol,aluminio,perro,No,porque las pelotas no cantan,que el nino es muy griton,un animal,porque hay animales que parecen una bola de pelos,aluminio
profesor,Mi abuela,perro,Si,Porque puede significar que es alguien que siempre es alegre o que siempre canta.,Que es una persona que siempre grita.,Un gato o un perro,Porque tienen pelo.,Puse mi abuela porque la plata me recuerda algo valioso y con edad.
balon de futbol,mi hermano,cabeza,Si,mi mama siempre es muy linda con todos y habla tan lindo como una cancion,puede ser que el hermanito este pequeno y nunca deja de llorar y gritar por todo lo que le hacen o le pasa.,un animal peludo,tiene pelo,porque mi hermano tiene mucho valor para mi.
abuelo,mi tia,perro,Si,porque para el una pelota es como una persona.,porque no para de gritar o de molestar,pues podria ser su cabeza,porque puede ser que tenga mucho cabello,pues puse su tia porque eran personas de su familia
sol,celular,cabeza,Si,Es sentido figurado.,Que su hermano grita mucho.,Un cojin.,Porque los cojines generalmente tienen pelo o algo suave y comodo.,Porque es una coso hecha de metal y es color plata.
corazon,el alma,cuyo,Si,es metaforico,una persona gorda que grita mucho,una mascota,tiene mucho cabello,por que es fuerte pero no lo suficiente para que no se rompa
sol,la luna,perro,Si,"pelota es una metafora para referirse a alguien con las cualidades 
","que grita por todo, cada que rebota",testiculos,porque asi es la anatomia humana,"la luna es un cuerpo celeste que cuando se ve de cerca pero al mismo tipo de lejos tiene la apariencia de ser de cristal, muy fragil"
sol,luna,gato,No,porque pelotas no hablan!,porque el grita mucho,algo con muchos pelos,porque si,una pelota hecha de plata
sol,la luna,cabeza,Si,podria referise pelota = a cabeza= cara= boca= canta,que por cualquier cosa llora y grita,perro,es un perro peludo,"puse luna, por nque es redonda y su color le tira al plteado siendo asi una metafora
"
alma,cerebro,gato,No,Porque no tiene vida la pelota.,Que se la pasa gritando.,Un perro o gato.,porque tienen muchos y cuando se acurrucan parecen pelotas.,Porque el cerebro se considera la parte rigida y coherente del ser humano.
senor,el,perro,No,las pelotas no hablan,talvez que sienpre esta corriendo o no se esta empaz,una bola de pelos,los animales tienen pelos,pelota girs
sol,el planeta,perro,No,porque las pelotas no cantan,porque esta chiquito grita mucho,el perro,porque tiene pelos,que la pelota le gustan las plantas
Balon,La Bola de cristal,Gato,Si,Puede ser alguien gordo que canta.,Que tu hermano no para de gritar y es un escandaloso.,Un perro,Por que tiene grasa y con pelo se ven mas como una pelota.,Por que el cristal brilla como la plata.
dice que,el,perro,Si,te puede encantar porque es llamativa,que es un nino muy griton,un gato porque se parece mucho al perro,porque los dos son peludos,el es alguien muy brillante
volley,el,gato,Si,cuando la pelota rebota y hace ruido,es un nino muy griton,un animal,porque pueden ser gorditos y peludos,"pelota fina
"
SOL,LA LUNA,GATO,Si,PORQUE OCUPAN LA PALABTRA PELOTA COMO UNA METAFORA,SU HERMANO GRITA TODO EL TIEMPO Y ES UNA PELOTA PORQUE SE ESTA OCUPANDO COMO UNA ALTERNATIVA,"UNA BOLA DE PELOS LITERALMENTE, UN PERRO, O CUALQUIER ANIMAL","PORQUE NO TE ESTAN DANDO ESPECIFICACIONES, TU PUEDES INTEERPRETARLO COMO QUIERAS","SIEMPRE COPARAN A LA LUNA COMO UN CIRCULO PATEADO Y MUY BRILLANTE, Y SE PUEDE SACAR LA RESPUESTA A TRAVES DE OBSERVAR LO DEMAS."
nino,el,gato,No,ninguna pelota hasta la actualidad puede cantar.,mi hermano es muy escandaloso,un gato,porque tienen mucho cabello.,una pelota conformada con plata
sol,la luna,gato,Si,porque depende del movimiento que hagas y emite un sonido,que a cada rato esta gritando,una pelota de cabello,porque cuando se te cae cabellos para recogerlos hacemos como una pelota,"si una pelota de fuego es el sol, la de plata es la luna por ser blanca"
Sol,La luna,gato,Si,se refiere a alguien que canta,que grita mucho,un perro,...,se refiere a la luna
sol,luna,perro,No,por las pelotas no hablan,por que nose calla,un gato,por que tiene mucho pelo,por que la luna es gris
no se,la esfera,hamster,No,por que las pelotas no cantan,que tu hermano grita mucho,un cachorro o un hamster,por que tienen mucho pelo,hay esferas de plata
sol,la luna,perro,Si,cuando la botas hace un sonido que puede ser interpretado como cantar,que grita mucho,una pelota de tenis,la pelota de tenis tiene pelos,que se puede interpretar como la luna
sol,la luna,gato,Si,es una metafora de algo o alguien que canta,Su hermano solo grita,un perro,son muy peludos,es una metafora por la forma y el color de la luna
sol,La luna,gato,Si,cuando bota,esta lleno de gritos,animales,tienen pelo,"porque es blanca con gris y brilla, la plata es mas o menos asi."
sol,la luna,oso,Si,por que hace sonido al rebotar,llora o grita mucho,un oso,porque son peludos,la luna es circular y dorada y parece una pelota
sol,luna,perro,Si,describe a la mama,"describe como es el hermano,quiere decir  que grita mucho",un gato o una bola de pelos,por que el perro tiene pelos igual que el gato y la bola de pelos,"luna, por que su color es muy brillante como la plata"
meteorito,La luna,gato,Si,que siempre canta o que siempre trae alegria,que solo grita mucho,Los pelos que a los perros se le caen,porque cuando se les cae el pelo se va acumulando y hace una bola de pelos que tambien podria ser una pelota de pelos,que es de plata
sol,la luna,gato,Si,el sonido de la pelota,que grita mucho,mi perro,porque tiene pelo,que es la luna
sol,Lla luna,gato,Si,es una metafora la pelota en realidad es su mama,que su hermano menor grita mucho,tener mucho pelo,porque se hace una pelota con el pelo metaforicamente,porque es la luna
Cometa,La moneda,Cabeza,No,Porque las pelotas no cantan,Que esta lleno de gritos listos para salir,Algun animal,Porque estan cubiertos en pelaje,Las monedas son redondas y plateadas
juguete,eso,cabeza,No,porque las pelotas no cantan,que esta molestando,un gato,porque estan muy peludos,"valiosa
"
sol,la luna,perro,Si,porque cuando rebota puede emitir un sonido,que es muy escandaloso o ruidoso,un animal con muchos pelos o un peluche,porque normalmente existe una expresion acerca de esto,cuando la luna llena esta brillando parece una pelota de plata brillante
sol,luna,perro,No,porque una pelota no puede cantar,porque tal vez tu hermano es un griton y es lo unico que hace,un perro,porque esta hecha de puro pelo,porque la luna tiene como color de plata y es al vez muy valiosa
meteorito,la luna,gato,No,porque una pelota no puede cantar,significa que es una persona que grita demasiado,un perro,porque es un animal que tiene muchos pelos,"aveces se dice la expresion de que la luna esta hecha de plata y ya que es redonda, tendria sentido que llamaramos a la luna una pelota de plata"
NOVIO,PAP?Å,HERMANA,Si,SE REFIERE A UNA PERSONA QUE CANTA.,SIGNIFICA QUE SU HERMANO ES MUY ESCANDALOSO,UN ANIMAL O MASCOTA.,PORQUE LAS MASCOTAS TIENEN MUCHOS PELOS.,"ES PAP?Å, PORQUE ES EL QUE CONTROLA LA CASA."
sol,luna,gato,No,por que no es literal,se refiere a que su hermano siempre grita,un hamster,por que igual es un animal con mucho pelo,por que siempre dicen que la luna es de plata
Sol,La luna,gato,Si,se refiere a que alguien canta,que su hermano grita mucho,el cabello,porque se esponja y se enreda,por que la anterior decia que era el sol entonces lo contrario del sol es la luna
cometa,el anillo,perro,No,las pelotas no cantan en todo caso seria una metafora,que su hermano grita mucho,un animal,la mayoria de los animales son peludos,porque lo primero que se me viene a la cabeza seria un anillo de plata
sol,luna,perro,No,la figura humana no tiene forma de esfera,que al ser pequeno llora y grita mucho,un gato,porque es esponjado y muy peludo,si el sol es una pelota de fuego ya que es caliente la luna tiene apariencia plateada en la noche
Sol,La Luna,cabeza,Si,porque se refiere a que su mama canta,que grita mucha probablemente porque es menor,mi perro,porque eta lleno de pelos,Que la luna es de color gris y brilla ligeramente en la noche
nino,El,papa,No,"Ya que las pelotas no hablan, pero metaforicamente si ya que describe como es alguien.",Que su hermano es muy griton,una pelota que tenga pelos,por que dice pelota de pelos,Una pelota de material de plata
balon,la luna,pelota de tenis,No,Porque las pelotas no cantan,un nino gordo que hace mucho ruido,un kiwi,porque es redondo y tiene pelo,porque la lun brilla igual que la plata
el sol,la luna,gato,No,las pelotas son objetos,que siempre esta gritando,un animal,porque tienen mucho pelo,ya que la luna es plateada
sol,la luna,gato,No,pq las pelotas no cantan,pq se espanta muy facil y salta al mismo tiemmpo que gfrita,un juguete,porque es divertido tener una pelota de peloss,"la luna es redonda y es color gris y brilla
"
sol,La luna,hamster,No,Porque las pelotas no cantan.,Que grita muy fuerte y grita todo el tiempo.,Un perro.,Porque son muy peludos y cuando son de un tamano pequeno se pueden parecer a eso.,La luna por que su forma se parece a la de una pelota y su color se parece al color plata.
sol,luna,Papa,No,por que una pelota no no hay tal cosa aunque se podria usar como una metafora,que su hermano tiende a gritar mucho,una mascota,por que la mayoria de los animales domesticos tienden a ser peludos,"tiene referencia al color de la luna o como la vemos por el reflejo del sol, brillante a la vista humana por la lejania y el reflejo"
El sol,La luna,Perro,Si,Si porque todos las pelotas que menciona se refieren a la accion o apariencia de un ser vivo o cosa,Que se refieren a que la pelota representa su hermano y como su hermano grita mucho esa es la accion que representa a su hermano,una mascota o un peluche,Porque la caracteristica de ambos es tener pelo,Yo creo que come se esta refiriendo en la primera frase al sol en la segunda como la luna tiene color plata yo pienso que se refiere a la luna
sol,La luna,perro,Si,"Porque es una metafora, y las metaforas comparan cosas con otras.","Su hermano debe ser un nino pequeno, y por lo general los ninos pequenos gritan cuando hacen berrinches. Tambien puede ser un bebe su hermano y pues los bebes lloran.","Un gato, algun animal peludo o tal vez su papa.",Porque puede ser cualquier animal peludo. O tal vez simplemente su papa tiene mucho cabello.,"La luna es redonda al igual que el sol. En la primera frase uno puede entender que habla del sol, entonces cuando va a la siguiente frase, uno puede deducir que habla de la luna, ya que la luna puede decirse que es plateada."
Sol,Luna,cabeza,No,Las pelotas no cantan,Porque esta gordo y grita demasiado,un perro o gato gordo,porque tienen mucho pelo y pues si estan gordos tendran la forma de una pelota,Una pelota color plata
amor,la mente,la cabeza,Si,porque literalmente puede tener un aparato adentro,la pelota significa su impratividad osea como *rebotar* y los gritos representa el ruido que hace,"un perro, una axila, todo el cuerpo humano",todo eso esta lleno de pelos,la mente es muy valiosa y brillante
el sol,la luna,gato,No,no entiendo a que se refiere,que su hermano no deja de gritar,un hamster (algun animal),por que tienen mucho pelo,la luna por que es redonda y de color plata
sol,la luna,perro,Si,porque tu mama puede cantar,gritan mucho,un gato,es un animal peludo,es del mismo color que la luna
sol,la luna,perro,Si,mi mama canta mucho,que grita demaciado,mi cabeza,porque tengo mucho pelo,la irradia luz tan blanca como el reflejo en plata
sol,luna,cabeza,No,Porque las son un objeto.,Que el nino grita mucho tiempo continuo.,Un gato.,Porque se acuestan y se ven como una pelota por todo el pelo que tienen.,La luna es redonda y plateada o gris.
sol,dinero,gato,No,las pelotas no cantan,Significa que su hermano llora y gritos mucho,un animal,porque tienes pelos,pongo dinero porque es como un pelota de plata
sol,La luna,perro,No,Porque las pelotas no pueden cantar,Que su hermano es muy griton,Un perro,Por ue los perros son muy peludos,Es una metafora hacia la luna pues es tan bella y parece de plata
sol,luna,cabeza,Si,porque se puede expresionar a cantar al modo de botar.,que se grita siempre llora y grita.,una especie marina,porque hay unas especies que tienen pelos para proteger a su mismo.,una pelota dura de plata
pajaro,el pajaro,estambre,Si,"por que se esta refiriendo a una persona en especifico, como a las cualidades","que su hermano es muy desastroso, que grita mucho","por el pelo , pelo muy largo",por que es mucho pelo en tu cabeza,que es muy importante
tiempo,La vida,padre,Si,Porque es una metafora que hace referencia a una persona y las personas cantan.,Que el hermano del autor es alguien que se expresa mucho y de manera demandante.,"Algo o alguien complicado, que no comprendes",Porque una el pelo no tiene un orden correcto y al estar en una pelota tiene menos orden.,Yo puse la vida porque es algo valioso tenemos pero que no todos saben como sacarle provecho.
celular,mi hermano,pelo,No,pelota no puede cantar,"su hermano se grita y trata como pelota(salta, bota)",no se,no se,una pelota dura
telefono,amiga,perro,Si,porque define lo que hace su mama,que es muy escandaloso,alguna mascota,porque tiene pelos,que es de gran importancia
Sol,La Luna,cabeza,Si,"Porque la luna, el Sol y la cabeza son circulares y las pelotas son circulares.",Que el hermano grita mucho.,Una cabeza,Porque tiene pelos y es circular como las pelotas.,La luna es circular y de color plata.
hombre,la mujer,cerebro,Si,Porque habla de personalidades y rasgos.,??l molesta facilmente,"Una alfombra, o animal chichito.",Porque pueden parecer un pelota de pella,"Porque este es como los hombres puede ver una mujer, sola una cosa linda."
sol,la luna,perro,Si,porque se refiere a que su mama es una pelota y ella canta,su hermano grita mucho,una pelota llena de pelos,porque es lo que tiene sentido,es una pelota hecha de plata
sol,la luna,perro,No,las pelotas no cantan,que su hermano grita mucho,una cabeza,por que es redonda y tiene pelo,pelota brillante
sol,la luna,perro,No,porque las pelotas no cantan,quiere decir que siempre pega gritos,un gato,porque algunos gatos tienen mucho pelo,la luna tiene un color muy singular que hace que a veces la veamos de color plata
tiempo,vida,familia,Si,una persona que canta,una persona que grita,la vida,porque se enreda,la vida porque vale mucho
Sol,Mercurio,gato,Si,Alguien alegre que canta.,El hermano que grita.,Un perro.,Porque tambien tienen mucho pelo.,Alguien que es fuerte o mercurio color plata.
sarten,papa,perro,Si,porque puede que haga mucho ruido,que es alguien que no para de gritar,un hamster,es gordo y peludo,es muy valioso
telefono,mi mama,cojin,Si,porque se esta comparando con palabra que es pelota con las personas o cosas que estan alrededor de yo.,"quiere decir que los hermanos se gritan y lloran porque son menores en las casas, y se comparo en una pelota.",perro.,porque tiene muchos pelos en su cuerpo.,"mi mama, porque la plata es joya, precioso, importante. es mi mama porque es muy importante en mi vida."
love,friends,dog,Si,meaning her mom is someone who sings a lot or maybe someone who is very energetic like someone from a musical.,that maybe her sister always screams to her,a person that wears animal fur,because that person is always hairy because of her clothes.,"Friends are very valuable in my opinion like silver, but you cannot get it for free and you may apply a scar to it. Most importantly before you can love a friend gold menaing loving yourself is the 1st thing you must do"
sol,la luna,gato,No,porque es un objeto,que es un bebe que grita mucho,un perro,porque si,la luna
sol,La luna,mi perro,No,Porque tu mama no es redonda,Que siempre esta gritando,Mi perro,porque los perros son peludos,la luna es plateada
hermano,hermana,amigo,No,por que yo no le encuentro el sentido,que no deja de gritar,feo?,asi me suena,vale mucho
abuelo,papa,hermana,No,Una pelota no canta.,Mi hermanito grita mucho.,Cabello enredado,Porque,Pues tal vez la medalla esta llena de plata.
Sol,Luna,Perro,No,"La pelota puede tener un significado como una metafora pero si lo leemos y lo pensamos con sentido comun, esto no tiene sentido.",Puede significar que el hermano es ruidoso.,Podria ser la cabeza.,Porque es redonda y tienes pelos.,Yo puse que la frase se podria referir a la Luna debido a su color y lo brillante que es.
sol,la luna,gato,No,porque las pelotas no hablan,que grita mucho,perro,porque ambos tienen pelo,que es brillante
horno,Mi collar,perro,No,"Porque las pelotas no tienen voz ni pueden cantar, sin embargo, cuando lo pones en el poema si tiene sentido porque esta diciendo que todo es una pelota","Esta usando la palabra pelota para todo, asi ue podemos pensar que su hermanito simplemente es muy griton",un gato,"porque en el poema, una pelota de pelos podria ser cualquier cosa peluda","porque ya establecimos que a todo le esta diciendo pelota, y los collares pueden ser de plata"
sol,la luna,perro,Si,porque a todos los nombramos pelota y algo que los defina,es un nino que grita mucho,un hombre con barba larga,porque tiene mucho pelo y se puede decir de manera exagerada,"la luna se ve como de plata, o color plata y brilla en la noche"
