,Explica pelota de gritos,a_similarity,a_wmdistances,a_n_similarity,a_distance,a_puntaje,Explica pelota de pelos,b_similarity,b_wmdistances,b_n_similarity,b_distance,b_puntaje,Explica pelota de plata,c_similarity,c_wmdistances,c_n_similarity,c_distance,c_puntaje
215,que nunca deja de hablar,0.25990358,0.0433974800101202,0.3209435,0.7914126589894295,3,por el gato tiene mucho pelo y lo deja en muchas partes,0.62884164,0.022386517375707626,0.787572,0.8099019974470139,1,que es una pelota rica en cuestión de dinero,0.32391378,0.04443897439683974,0.4589113,0.8188408836722374,2
216,que es un niño gordito que se la pasa gritando,0.2618689,0.04381035094274208,0.41115493,0.7942691799253225,3,por que los gatos tienen muchos pelos,0.20947815,0.04661942511498928,0.30760217,0.8396986946463585,3,pues es una pelota que esta echa de plata,0.29114184,0.04830038429493644,0.44308388,0.8773115947842598,1
217,que los niños son demasiados inquietos y ruidosos,0.2111842,0.04480435115600191,0.32668114,0.8822314962744713,3,porque en una parte de su cuerpo que tiene en forma de pelota y esponjosa,0.15551735,0.04533723564063385,0.28445643,0.9015638064593077,3,el dinero es algo valioso que se cuida y brilla como plata,0.24885307,0.046417977108041755,0.43730664,0.8587403073906898,2
218,que su hermanito grita mucho,0.65836585,0.04421025041989237,0.8131853,0.853979617357254,3,el perro por que tiene mucho pelo un jardín por que esta lleno de pasto y es lo que lo cubre por lo tanto seria como su pelaje,0.26053557,0.04143269085681019,0.5091104,0.9118476002477109,3,valor,False,False,False,False,2
219,que su hermando es un niño travieso,0.21925475,0.043484037175812985,0.30631536,0.8029417544603348,3,por que puede ser un cuyo y es una bola de pelos,0.20290446,0.04409714223438501,0.3007726,0.8595481589436531,1,que es una pelota que es muy valiosa y que representa varias cosas,0.33591568,0.05103005041553825,0.5166454,0.8358209207653999,2
220,que su hermano grita mucho,0.6671361,0.044878695823419835,0.8002222,0.8400392383337021,3,por que son muy peludos,0.25205082,0.04379609227180481,0.26340497,0.8568854779005051,3,la luna es brillante y cuando es luna llena parece una pelota,0.56448156,0.04774323776597605,0.7317109,0.9091938227415085,3
221,es decir que tu hermanito es un gritón,0.32019544,0.0459969365362376,0.3974983,0.844527006149292,3,porque tiene pelo,1.0,0.021057022735476494,1.0,0.8149137198925018,3,que es algo redondo pero de plata,0.2390922,0.04587972540033609,0.35894346,0.9209077507257462,3
222,que siempre esta llorando o gritando,0.15876934,0.045106090224981306,0.21402535,0.9127739630639553,3,invalida por sistema,0.18828857,0.04402229849554598,0.2719038,0.9202320165932178,3,por que es como color gris y la plata es gris,0.46793258,0.046491036545855,0.63721865,0.8397326245903969,3
223,que es un dolor de cabeza,0.2869489,0.04636863108457066,0.36552337,0.8298091664910316,3,por que esta muy peludo,0.12905775,0.050064392387866974,0.13895622,0.9196195155382156,3,por que el plato es redondo,0.2377786,0.04389140009880066,0.25097626,0.931515708565712,1
224,invalida por sistema,0.25267503,0.04744494706392288,0.25267503,0.9880358427762985,0,por que tiene mucho pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,0,invalida por sistema,False,False,False,False,0
225,que todo el tiempo grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,3,por que dice que es una pelota de pelos y hay un animal que tiene muchos pelos,0.1980859,0.04462017786841095,0.30000174,0.8686581961810589,3,por que no se me ocurrió nada mas,False,False,False,False,1
226,que siempre hace berrinche y grita para tener lo que quiere,0.6426997,0.04298269324133918,0.809337,0.8180365115404129,3,es buena onda,0.1818972,0.04404699429869652,0.1818972,0.9290297478437424,3,que es algo pesado que no es una persona,0.09242459,0.04835173589736596,0.1139849,1.0413218326866627,1
227,que es un niño muy inquieto,0.18075511,0.04416626730870456,0.2281053,0.8205480203032494,3,así se le pueden decir para que no se escuche mal,0.19044863,0.0457504317164421,0.19832146,0.8764354065060616,3,que es algo que vale mucho,1.0,0.04621981732169981,1.0,0.8905605003237724,3
228,quiere decir que su hermanito grita mucho,0.65836585,0.04421025041989237,0.8131853,0.853979617357254,3,por que es redonda,0.12718275,0.046543046832084656,0.11862364,0.9367141053080559,3,que vale mucho,1.0,0.04621981732169981,1.0,0.8905605003237724,3
229,que mi hermano le encanta cantar,0.20845869,0.04610607644832495,0.31733915,0.8637470106283823,3,tiene cabello,0.2890329,0.04625891521573067,0.25301826,0.8792322725057602,1,es un objeto que puede ser de plata o tiene valor para unas personas,0.26697493,0.04491568139377929,0.42215097,0.8874594966570536,1
230,que grita mucho todo el tiempo,1.0,0.04469776898622513,1.0,0.8691247999668121,3,por que son bolitas llenas de peluche o pelo,0.4249608,0.033641115466499574,0.5940181,0.8760908295710882,1,puede ser el balón de oro que les dan al mejor jugador,0.120905966,0.04540740883548257,0.1669329,1.042997408658266,1
231,es una ternura,-0.025318654,0.04856761172413827,-0.025318654,1.1059701889753342,3,por que son peludos,0.25205082,0.04379609227180481,0.26340497,0.8568854779005051,1,un tesoro,0.11086424,0.04572538886331561,0.09283996,0.9997106613591313,1
232,por que esta gordito y es muy gritón,0.31938925,0.04576002180813253,0.3991647,0.7837680727243423,3,por que están hechas de hilo algodón,-0.02232977,0.04960669949650764,-0.10016372,1.121539518237114,1,bolas de imán que se unen a la plata,0.28714025,0.04726852169381455,0.44782135,0.8977980241179466,1
233,por que son muy ruidosos,0.25037503,0.04249168559908867,0.25037503,0.8117108047008514,3,por que luego se le suelta mucho pelo y saca bolas de su pelaje,0.3382876,0.03997578359348327,0.54649746,0.8718664690852165,3,la plata es valiosa por lo tanto quizás es algo importante,0.30561566,0.04871718491621008,0.48162013,0.8381046305100123,3
234,que grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,3,porque esta lleno de pelos,0.15239468,0.045807213943101464,0.20267513,0.903818542137742,1,podría ser por que la moneda tiene valor,False,False,False,False,1
235,que su hermano grita mucho,0.6671361,0.044878695823419835,0.8002222,0.8400392383337021,3,por que son peludos,0.25205082,0.04379609227180481,0.26340497,0.8568854779005051,1,una pelota que esta hecha de plata,0.2661229,0.048209067829766444,0.47346175,0.9263350789745649,1
236,que el hermanito es muy ruidoso,0.17722665,0.04236055950643122,0.26824877,0.8327319025993347,3,por que el animal tiene pelaje,0.20640108,0.045546189685547724,0.32856387,0.8230118453502655,3,porque es mi modelo a seguir,0.16301763,0.04585375192419119,0.24575841,0.8997657336294651,3
237,mi hermanito me estresa cada vez que grita,0.53131956,0.0437022910693108,0.74425197,0.856157715121905,3,por que tiene muchos pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,3,no sabia que contestar,False,False,False,False,1
238,que su hermanito grita mucho,0.65836585,0.04421025041989237,0.8131853,0.853979617357254,3,por que son peludos,0.25205082,0.04379609227180481,0.26340497,0.8568854779005051,3,que es algo nuevo,False,False,False,False,2
239,que un niño es muy ruidoso,0.22860236,0.04345995911573991,0.2968197,0.8501680344343185,3,por que tal vez tiene mucho cabello o se le cae mucho ya sea a el o a sus mascotas,0.15350768,0.04710780887862741,0.21938741,0.9567407866319021,3,la luna por que es redonda y color como gris,0.6692321,0.04679988336254097,0.8280564,0.8770287819206715,3
240,que mi hermano grita mucho,0.6671361,0.044878695823419835,0.8002222,0.8400392383337021,3,así le decimos,0.14544675,0.04744890332221985,0.17198299,0.8770661354064941,3,por que la luna tiene un ligero tono de plata,0.4916138,0.04628689490267448,0.7039999,0.8978634234517813,3
241,su hermano grita o llora mucho y así es como la autor se refiere a el en el sentido literario,0.32243168,0.045704070597782157,0.5812675,0.9031651903476033,3,por que los gatos son muy peludos y despiden mucho pelo,0.48033643,0.031201165658952645,0.68303925,0.8298846781253815,2,en la forma de que a lo mejor su papa es el que tiene dinero o trabaja para tenerlo,0.2255635,0.044073250331290066,0.42226106,0.9452830776572227,3
242,por que siempre grita,1.0,0.04469776898622513,1.0,0.8691247999668121,3,no sé se me ocurrió,False,False,False,False,2,por que ya esta viejito,False,False,False,False,2
243,por que los niños pequeños por lo regular gritan por todo,0.21929269,0.04677948963147029,0.3977136,0.880285294726491,3,por que es único redondo con pelos,0.45907414,0.04365972349995558,0.5444528,0.872244148204724,3,algo que es de plata o que vale plata para ti,0.39313346,0.04591050759233399,0.47814482,0.8409643744428953,2
244,que es chillón,0.21420899,0.044369813054800034,0.21420899,0.875319704413414,3,tiene muchos pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,2,0,False,False,False,False,1
245,que es un bebé,0.23965892,0.04419660195708275,0.23965892,0.8086715936660767,3,por que ellos están llenos de pelos,0.16466214,0.045709620005071165,0.19721124,0.9074454214423895,3,por que es de color plata,0.6202029,0.04645081540065818,0.674394,0.8713405132293701,1
246,que siempre grita,1.0,0.04469776898622513,1.0,0.8691247999668121,3,porque tienen pelo y a algunos perros callejeros así los nombran,0.27345708,0.03693530383494869,0.51262206,0.9636100474745035,3,que soy muy brillante,0.19955546,0.04595272449858652,0.15748522,1.0087824240326881,3
247,que mi hermanito grita mucho,0.65836585,0.04421025041989237,0.8131853,0.853979617357254,3,por la descripción,0.26347125,0.045790527015924454,0.2581585,0.8516122400760651,3,creo que se refiere a la abuela porque ella como esta vieja tiene el cabello de plata metafóricamente,0.24629216,0.046492981695742,0.49027961,0.9739008005708456,3
248,al hermano lo representa como una pelota y el grita mucho,0.46824044,0.04440962528167292,0.69329166,0.8555891886353493,3,por que tiene pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,3,por que es de hierro la escultura y puede ser redonda,0.36126614,0.04735572263598442,0.3476438,0.9770486578345299,1
249,porque el grita mucho o muy fuerte,0.6157386,0.04527866185849347,0.80139804,0.9243382140994072,3,y que es la principal pelota,0.18968722,0.04646393656730652,0.21994409,0.8457293957471848,1,porque el mundo solo es una parte del universo,False,False,False,False,2
250,que todo el tiempo llora y grita,0.62471265,0.04617141342640109,0.7718557,0.8897486180067062,3,por que los animales tienen mucho pelo,0.54594165,0.022520946338772774,0.79274136,0.960636094212532,2,que es una pelota pesada y brillante,0.21658304,0.045364265855142596,0.39256585,0.9406005342801412,1
251,que su pelota es la mejor,0.33210012,0.044044435024261475,0.33210012,0.8483506739139557,1,por que es desepera,False,False,False,False,1,que todas las pelotas son importantes,0.24409948,0.047218985855579376,0.18921462,0.9914383888244629,2
252,mi hermano es una persona que grita todo el tiempo,0.5693776,0.0437020555808695,0.75620013,0.7997070948282877,3,0,False,False,False,False,3,por que la luna es grande y brilla,0.46339962,0.04575703143277312,0.62912166,0.9000439693530401,3
253,es un niño,0.2838341,0.04227347671985626,0.2838341,0.7380576729774475,2,0,False,False,False,False,2,puede ser un moderna por que existe de madera,False,False,False,False,1
254,por que grita,1.0,0.04469776898622513,1.0,0.8691247999668121,3,porque es una expresión de algo chido,0.15881369,0.04560127456215769,0.22422743,0.9002259541302919,1,moneda,False,False,False,False,1
255,mi hermanito grita mucho,0.65836585,0.04421025041989237,0.8131853,0.853979617357254,3,porque es de oro,0.07849962,0.044670701026916504,0.07849962,1.0700246542692184,1,pelota de plata,0.29114184,0.04830038429493644,0.44308388,0.8773115947842598,1
256,mi hermano grita demasiado,0.6671361,0.044878695823419835,0.8002222,0.8400392383337021,3,pues por que tiene pelos ,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,3,que es sincero,0.21817139,0.04775692522525787,0.19547237,0.9961222726851702,3
257,que es muy inquieto,0.09956789,0.04628346487879753,0.09956789,0.924930140376091,3,tiene pelos y esta gordito,0.26422447,0.043600234305093064,0.37829491,0.8227011561393738,3,que es una pelota,0.34187788,0.04873271659016609,0.42143494,0.8443233966827393,1
258,que a su hermano le gustan los grillos ,0.2221497,0.04299191683491565,0.36217737,0.8498430301745733,3,por que esta hablando de una pelota de cabello,0.21764064,0.04603120287076401,0.30896968,0.9013971618066231,1,pues que es algo que parece una pelota pero es un fruto o otra cosa ,0.2928508,0.04829124691057578,0.46382162,0.8725347891449928,1
259,por que grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,3,por que tiene pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,3,es una bola de color plata,0.5266049,0.04589850760902536,0.64460117,0.8547908564408621,2
260,que mi hermano grita mucho,0.6671361,0.044878695823419835,0.8002222,0.8400392383337021,3,por que algunos son muy peludos,0.25205082,0.04379609227180481,0.26340497,0.8568854779005051,1,que se refiere a algo que tenga vida como un árbol,0.14688405,0.04477138308657333,0.19678795,0.97857497446239,2
261,por que es gordo y le gusta cantar,0.22891074,0.048601499444032546,0.389292,0.8812960088253021,3,porque grita,False,False,False,False,1,por que es de plata,0.24040581,0.047868069261312485,0.30707037,0.9102997928857803,1
262,quiere decir que su hermano grita mucho,0.6671361,0.044878695823419835,0.8002222,0.8400392383337021,3,porque esta gordo y tiene pelos y aun que no tengo gatos la mayoría lo son,0.14605956,0.04701437371652573,0.2762156,0.9236194211989641,3,la luna es una pelota de plata porque su color se parece al de la plata,0.5645379,0.04755627957204953,0.71958226,0.8775729432702064,3
263,que grita demasiado,1.0,0.04469776898622513,1.0,0.8691247999668121,3,porque otras mascotas tienen pelo,0.48988605,0.023846033960580826,0.76375425,0.9948073551058769,1,que es plateada,0.2626722,0.05348435789346695,0.2994789,0.977941457182169,1
264,que mi hermano grita y grita sin parar y sin sentido,0.4827153,0.04690164195864796,0.76948035,0.9557827144861222,3,por que suena bonito,0.1358622,0.04560906464253552,0.18043447,0.9994420278817415,3,pues el lo único a lo que le vi sentido no como a todo lo demás,0.33800596,0.04560966214118389,0.33800596,0.931348517537117,1
265,que los niños son muy energéticos y tienden a gritar mucho,0.20433551,0.0489677076565437,0.341463,0.9718739613890648,3,por que cuando uno se peina se queda el cabello y se va haciendo una bola de pelos,0.2328339,0.04443246521448493,0.44879326,0.8628563642501831,3,que es muy poderoso en cuanto a lo que puede hacer por la familia,0.06790228,0.04600473721180747,0.06790228,0.9736530408263206,2
266,o sea que su hermano grita mucho,0.6671361,0.044878695823419835,0.8002222,0.8400392383337021,3,por que son parecidos,False,False,False,False,1,que puede ser una pelota de plata oye eso te hace rico,0.29114184,0.04830038429493644,0.44308388,0.8773115947842598,2
267,es cuando mi hermano siempre esta llorando o gritando,0.21727028,0.04509055540559476,0.32860583,0.8788338676095009,2,porque hay viven los pájaros,False,False,False,False,2,que la luna es gris y plata también y es muy bonita,0.4387771,0.04749272314800322,0.6576235,0.8858632687479258,3
268,que hace ruido,1.0,0.04469776898622513,1.0,0.8691247999668121,2,por que te desestresas con una pelota de pelos,0.20984253,0.04494763246136904,0.2794063,0.8536359742283821,1,que es diferentes a las demás,False,False,False,False,1
269,que cada bote que da es un grito de mi hermano,0.33427218,0.04505961015820503,0.33427218,0.810953676700592,1,por que hay muchos pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,pelota que brilla,0.2925532,0.04693097059239447,0.44255698,0.8635628558695316,2
270,que su hermano se la pasa gritando,0.2682287,0.04524983346757108,0.39394093,0.851515976091226,2,por que parece que es de pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,que brilla y te llama la atención,0.28464276,0.0455376499417033,0.43125558,0.8918039090931416,2
271,por siempre mete goles,0.38689506,0.04232374578714371,0.38689506,0.9059933349490166,1,porque un perro tiene pelos,0.19432336,0.046393606407243757,0.2454241,0.8778226859867573,1,que es una pelota mágica o especial,0.29532695,0.04438897462961823,0.43000096,0.8830395266413689,2
272,quiere decir mi hermanito todo el tiempo grita,0.65836585,0.04421025041989237,0.8131853,0.853979617357254,2,por que tiene pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,es un reconocimiento de tu esfuerzo,False,False,False,False,2
273,que el hermano se la pasa gritando,0.2682287,0.04524983346757108,0.39394093,0.851515976091226,2,por que son bolas y tiene sentido,0.19480594,0.05167966992228851,0.26327997,0.9498593080788851,1,yo creo que es la luna,1.0,0.04827899485826492,0.71598035,0.8905605003237724,2
274,que es muy grito,False,False,False,False,2,por que tienen mucho pelo,1.0,0.021057022735476494,1.0,0.8149137198925018,1,es una pelota de plata,0.29114184,0.04830038429493644,0.44308388,0.8773115947842598,1
275,que su hermano es una latoso,0.34914577,0.043854513414328916,0.4356108,0.8010614514350891,1,por que tiene pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,es un trofeo de fútbol el trofeo tiene una pelota de plata,0.2407036,0.047394485042306554,0.4266334,0.9118451438844204,1
276,que llega a gritar mucho,0.28205717,0.0473736614838168,0.36597162,0.9057183004915714,2,tiene mucho pelo,1.0,0.021057022735476494,1.0,0.8149137198925018,1,pues pensé en un jardinero por que hace el mantenimiento de las plantas,0.22105964,0.04382396688663103,0.20368803,0.8978967145085335,1
277,que es muy gritos,0.059554145,0.04690421372652054,0.059554145,1.0169062111526728,2,por es chiquito,False,False,False,False,1,que es cara y cuesta mucho,0.105584204,0.045797184109687805,0.12292456,1.026195490732789,1
278,que mi hermano grita mucho y hace estallar a las personas,0.6671361,0.044878695823419835,0.8002222,0.8400392383337021,1,por que esta gordo y tiene muchos pelos,0.117895804,0.04569677377842739,0.109888904,0.988805565983057,1,que es muy brillante,0.19955546,0.04595272449858652,0.15748522,1.0087824240326881,2
279,que es fastidioso,0.20196056,0.046070754528045654,0.20196056,0.8242427408695221,1,ya que es gordo y peludo,0.06742576,0.04901329046968371,0.10094629,1.017844047397375,2,es de el color plata,0.6202029,0.04645081540065818,0.674394,0.8713405132293701,1
280,que grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,1,por que tiene pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,3,que vale mucho para una persona,0.4703427,0.046168077762067286,0.682771,0.9062914699316025,1
281,ya es grande y grita,0.58349866,0.041806270310506224,0.8010368,0.8103311583399773,1,por que tiene pelo,1.0,0.021057022735476494,1.0,0.8149137198925018,3,podría ser una cadena de plata,0.24040581,0.047868069261312485,0.30707037,0.9102997928857803,1
282,que grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,1,por que tiene mucho pelo,1.0,0.021057022735476494,1.0,0.8149137198925018,1,que brilla,0.24322851,0.0451292023062706,0.28640905,0.882802315056324,2
283,que se la pasa gritando todo el tiempo,0.23520699,0.045345007556863125,0.31450334,0.8717971257865429,2,por que el carro tiene muchos pelos,0.24485019,0.042658321595806625,0.32094452,0.8976773992180824,3,que es una moneda de plata,0.24040581,0.047868069261312485,0.30707037,0.9102997928857803,1
284,que mi hermana grita,0.67442465,0.04598147530183196,0.812502,0.8989068418741226,1,por que es muy cochino,0.19172038,0.04573356732726097,0.18635367,0.8941114842891693,3,que hay una bola de aluminio,0.33940881,0.04529627232972156,0.31405762,0.9305293187499046,1
285,que mi hermanito es muy gritón,0.32019544,0.0459969365362376,0.3974983,0.844527006149292,3,seria una manera de expresar un gato pero con un tanto de sentido figurado,0.13177456,0.04617193716574833,0.24658474,1.0126073732972145,1,que hay mucha plata,0.24040581,0.047868069261312485,0.30707037,0.9102997928857803,1
286,por que grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,3,por que en mi cabeza tengo cabello,0.32118693,0.04342023688351735,0.34544307,0.9377934038639069,2,pues pelta de plata,0.24040581,0.047868069261312485,0.30707037,0.9102997928857803,1
287,se refiere a que su hermano es una persona gritona,0.2841616,0.04535021120276302,0.43439946,0.8598457705229521,3,es una parte que del conejo que es circular y peluda,0.10978745,0.04707589309589019,0.18073374,0.9422856954236826,3,como el autor trata de poner personas u objetos como pelotas por tanto yo decidí poner que la luna era una pelota de plata,0.34335467,0.04579769126809016,0.6455158,0.882246901281178,3
288,quiere decir que los niños gritan mucho,0.27281678,0.04722690487742424,0.385754,0.8417306169867516,3,por que también es una bola de pelo,0.5879055,0.022381484508514404,0.7893791,0.8362337425351143,1,no tengo idea,0.13735309,0.04608359690824503,0.13147542,0.9712904803454876,1
289,que es muy la toso,0.08182188,0.044874902814626694,0.08182188,1.0747072771191597,3,porque hay muchas personas en el planeta con mucho pelo,0.53538513,0.02383476123213768,0.75867975,0.8900457285344601,2,que es un aro hecho de plata son los que utilizan los del circo,0.24040581,0.047868069261312485,0.30707037,0.9102997928857803,1
290,que es bien gritón,0.3236592,0.04827113449573517,0.3236592,0.8502195775508881,3,porque a alguien quizá podría caerle el pelo,1.0,0.021057022735476494,1.0,0.8149137198925018,1,que puede ser algo de plata,0.24040581,0.047868069261312485,0.30707037,0.9102997928857803,1
291,su hermano es un bebe que grita y llora mucho,0.45862037,0.045173904726726,0.6922631,0.8780686222016811,3,porque son peludos,0.25205082,0.04379609227180481,0.26340497,0.8568854779005051,1,la luna es una esfera plateada,0.47381157,0.04855513743046116,0.58089197,0.9313431990643343,3
292,que esta gritando su hermano,0.27711114,0.045999096558783203,0.35389352,0.879812341183424,3,porque tienen mucho pelaje,0.27014148,0.04593824967741966,0.34351712,0.7402054071426392,1,de que las partes de las plantas son su familia,False,False,False,False,1
293,que el hermanito grita mucho,0.65836585,0.04421025041989237,0.8131853,0.853979617357254,3,por que tiene muchos pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,3,porque esa valiosa,0.32995352,0.05332736670970916,0.44531077,0.8273184448480606,1
294,que mi hermanito siempre grita,0.65836585,0.04421025041989237,0.8131853,0.853979617357254,3,porque las mascotas son peludas,-0.06766397,0.04904544895954802,-0.100933105,1.1521446332335472,3,que la noche tiene color parecido a la plata,0.42403594,0.04359722028673161,0.6353417,0.8648123564198613,2
295,que su hermano siempre grita,0.6671361,0.044878695823419835,0.8002222,0.8400392383337021,3,por que las mascotas normalmente son peludas,0.0036287282,0.04803432471588718,0.007342633,1.0753191138307254,3,es como ver a algo hermoso,0.3676289,0.0491252255972294,0.40647942,0.8320077210664749,2
296,quiere decir que su hermano grita mucho es una metáfora,0.4782861,0.0453043711788914,0.71235263,0.9026410231987635,3,por que la tela son pelos,0.16076177,0.044415058578621595,0.20897292,0.918916454538703,3,la luna porque es blanca y refleja la luz del sol la pelota de fuego,0.40807468,0.048159365265734125,0.64110935,0.9015276272382055,3
297,lo que yo entiendo es que su hermano grita mucho y a eso se refiere,0.41922063,0.04464875125525519,0.65764475,0.8498364500701427,3,porque ese animalito es peludo así que podría quedar con la frase,0.18252519,0.045582198572052667,0.27343965,0.9400182068347931,2,hay copas de reyes que son de plata y tienen forma circular,0.20757614,0.04660479228198834,0.3697713,0.9810743977626165,2
298,se refiere a que su hermano grita mucho,0.5463208,0.04575785562942503,0.70016193,0.845725933710734,3,por que pelos se refiere a mucha cabellera y pelota a persona,0.1977807,0.04458951631667018,0.38331842,0.874568971991539,1,la luna es color plata y brilla,0.62090856,0.04657747410297766,0.8049245,0.8790109604597092,3
299,quiere decir que su hermano grita mucho,0.6671361,0.044878695823419835,0.8002222,0.8400392383337021,3,que,False,False,False,False,3,como en la primera frase decía pelota de fuego se me figuro a un sol así que cuando leí pelota de plata automáticamente pensé en la luna,0.36019903,0.04620682144098879,0.6499637,0.8774355970323086,1
300,que su hermano es muy llorón y enojón y de todo grita,0.4202965,0.04405971487898938,0.7063323,0.8713649120181799,3,por que tiene pelos ,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,es una persona muy valiosa,0.23695868,0.05125586514987051,0.39136916,0.943316537886858,1
301,que,False,False,False,False,0,porque puede ser un animal peludo,0.13585922,0.04760925961736217,0.19728966,0.9127188995480537,0,qwewqe,False,False,False,False,0
302,por que regaña al hermano menor,0.20655088,0.044287513738144185,0.29329118,0.8603820577263832,2,por su forma redonda y llena en este caso de cabello,0.19093753,0.045875258831899614,0.33550844,0.8822373617440462,2,es la que la vale más,1.0,0.04621981732169981,1.0,0.8905605003237724,1
303,que es una persona que grita mucho,0.6869303,0.04302334586223215,0.82266974,0.7940838038921356,3,porque son aquellos que tienen mucho pelo,1.0,0.021057022735476494,1.0,0.8149137198925018,2,porque el sol es de fuego y la luna es de color de la plata,0.5831829,0.046404968426449596,0.7713776,0.8533129975199699,3
304,cuando a alguien se le dice pelota la mayoría de veces es porque tratan de decirle gordo así que supongo que trata de decir que su hermano es un gordo gritón,0.16382991,0.04478598754782379,0.3731588,0.9060861926525832,3,porque tiene pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,me refiero al color cuando me dicen plata lo primero que se me viene a la mente es el dorado,0.44412604,0.04538503283855506,0.692011,0.9146087318658829,1
305,que es una persona inquieta,0.29711965,0.044382068373350424,0.3591643,0.7724689990282059,3,porque el es demasiado fuerte ,0.060452763,0.04862594977021217,-0.03542883,1.0977131128311157,3,que puede que sea una referencia a algo de plata,0.26094407,0.04835166040255688,0.38652343,1.024414338171482,1
306,porque grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,3,por que lo dice en sentido figurado,0.13594806,0.04597345543844998,0.18284556,1.1032943669706583,3,es redonda y parece de plata,0.30083597,0.04761190328866057,0.40402457,0.9436742253601551,1
307,que siempre que se mueve hace demasiado ruido,0.5335821,0.04467997927416861,0.7111646,0.8429514244198799,3,por que es circular y tiene pelos,0.11172156,0.0454327704281006,0.1530362,0.9429340343922377,2,que si se llega a romper no se podría recuperar ya que es muy cara,0.105584204,0.045797184109687805,0.12292456,1.026195490732789,1
308,que con cualquier cosa se altera y grita,0.4878431,0.04374779816075827,0.69795966,0.8287697533766428,3,porque tiene pelos en la parte de su estómago,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,que vale mucho,1.0,0.04621981732169981,1.0,0.8905605003237724,1
309,por que no esta quieta,0.28851572,0.04441769793629646,0.28851572,0.9290648102760315,2,la mayoría de estambres están redondos como lo es la pelota también por que suelta pelos y en general se me vendría mas a la mente el estambre,0.17146881,0.04626436729270313,0.27473852,0.9019354023039341,1,es una moneda por que es circular y es de plata,0.19489783,0.04541609921550565,0.3036192,0.9146946500986814,1
310,que mi hermanito grita mucho en casa,0.47028798,0.0439706115082144,0.70014,0.8642436191439629,3,la palabra pelota es la cabeza y pelos es el cabello,0.23639232,0.04414128801339269,0.39174974,0.9015298187732697,2,que es una pelota que vale mucho,0.5778383,0.04572047586667421,0.7040112,0.8217709772288799,1
311,pues a mi entender la persona se esta haciendo una referencia de la pelota con su hermano que es inquieto entre otras cosas,0.18420587,0.04331312501260309,0.34242135,0.8256774519880613,3,por que algunos animales están peludos o pequeños como el hámster que es un animal pequeño y se hace volita,0.14141122,0.04507593701171316,0.24576077,0.9631977705284953,1,pues yo lo puse por que mi cerebro en si es el que piensa razona es inteligente algo apreciado y lo di como referencia como algo importante,0.28447232,0.04496201048083156,0.5469767,0.9360799796879291,1
312,que a mi hermano le gusta gritar o hablar mucho y muy fuerte,0.31081513,0.04800119912657142,0.47550857,0.8429699569940567,3,porque esta cubierto de pelos,0.2017346,0.04375717822940089,0.2893679,0.8686138167977333,1,porque mi trofeo es de plata,0.24040581,0.047868069261312485,0.30707037,0.9102997928857803,1
313,que es muy fastidioso,0.20196056,0.046070754528045654,0.20196056,0.8242427408695221,3,mas o menos entiendo eso,False,False,False,False,2,pues una moneda,False,False,False,False,1
314,grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,3,por que están peludos,0.25205082,0.04379609227180481,0.26340497,0.8568854779005051,2,es una moneda de plata redonda,0.30083597,0.04761190328866057,0.40402457,0.9436742253601551,1
315,por lo que entiendo es que un niño tiene una pelota que es súper fantástica,0.21056071,0.04338873603206594,0.41095874,0.8670726418495178,1,por que tal bien puede tener pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,una pelota que es de plata,0.29114184,0.04830038429493644,0.44308388,0.8773115947842598,1
316,por que los niños gritan cuando están pequeños,0.25841612,0.04606015687227406,0.3993591,0.8106563538312912,3,por que parece una cama y es acolchonado,0.063728966,0.046657153969340025,0.014077231,1.0397485084831715,3,el dinero es importante y valioso,0.28608856,0.04587690039205802,0.39702758,0.8920615613460541,1
