,clean_por_que_pelota_que_canta,clean_explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,clean_que_otra_cosa_podria_ser_una_pelota_de_pelos,clean_explica_tu_respuesta_en_la_frase_pelota_de_plata,clean_c1t,clean_c2t,clean_c3t,clean_c4t,clean_c5t,clean_c6t,clean_que_significa_1,clean_por_que_crees_que_si_o_no_es_posible_1,clean_que_significa_2,clean_por_que_crees_que_si_o_que_no_es_posible_2,clean_que_significa_3,clean_por_que_crees_que_si_o_que_no_es_posible_3,clean_que_significa_4,clean_por_que_crees_que_si_o_que_no_es_posible_4,clean_que_significa_5,clean_por_que_crees_que_si_o_que_no_es_posible_5,clean_que_significa_6,clean_por_que_crees_que_si_o_que_no_es_posible_6,clean_que_significa_7,clean_por_que_crees_que_si_o_que_no_es_posible_7,clean_que_significa_8,clean_por_que_crees_que_si_o_que_no_es_posible_8,clean_que_significa_9,clean_por_que_crees_que_si_o_que_no_es_posible_9
269,por que las pelotas no cantan,es cuando mi hermano siempre esta llorando o gritando,mi cepillo para peinar,que la luna es gris y plata tambi�n y es muy bonita,es aquella tu cabello esta muy maltratado o feo,son brillantes y bonitos,mi hermana es muy empalagosa y linda,que se derrite cuando la ves,que se fue y llego el d�a,que si te fue mal en este d�a a lo mejor el siguiente te ira un poco mejor,son aquellas que est�n hechas de cristal o alg�n otro materia,puede ser posible por que hay muchas cosas hechas de eso,son esos que est�n hechos de telas con los que se puede hacer ropa cortinas entre otras,por que hay muchas personas que se dedican a hacer ese tipo de cosas,significa que son aquellos que se suponen que est�n hechos de miel,no es posible por que no existen ese tipo de zapatos,es la que esta hecho de rocas,puede ser posible por que muchos escultores han hecho esculturas de piedras,son aquellas personas que no tienen sentimientos,por que hay muchas personas que son muy fr�as,es cuando te tropiezas y te pregunta si te ca�ste,no es posible por que no hay de ese tipo de banquetas,que acaban de traer una silla,si es posible por que luego personas traen sillas y te las ofrecen por que las venden,son aquellos que cuidan su salud y les gusta hacer ejercicio,por que a muchas personas les gustas les gusta hacer ejercicio,cuando si te organizas y el tiempo te alcanza,por que si organizas todo lo que tienes que hacer al d�a si te alcanza el tiempo
270,por que las pelotas hacen ruido al lanzarlas,que hace ruido,un globo,que es diferentes a las dem�s,enredado,muy blancos y brillosos,muy linda,muy fr�a ,quedo en el pasado,que con el tiempo me ira mejor,que las estrellas serian lindas ,no es posible por que son diferentes,vestimenta,si es posible ya que son de tela,son suaves,no es posible por que no se podr�a caminar,estatua,por que es alguna obra,que es muy fr�a,por que seria muy pesada,protectora,por que no te proteger�a como tal,que se movi�,por que esta fija en alg�n lugar,recorren,por que son deportistas,puedes lograrlo con el tiempo que tengas,por que puedes lograrlo
271,porque ninguna pelota canta,que cada bote que da es un grito de mi hermano,un nido,pelota que brilla,el cabello es negro y largo o corto,que brillan mucho,mi hermana es muy bonita tierna y inteligente,sonrisa tan fr�a,pues quedo atr�s ya paso,que los tiempos son diferentes hay cosas mejores que te faltan recorrer,que con el cristal hacen estrellas,porque no se puede hacer eso,que con la tela hacen la ropa que vestimos,porque mucha gente viste con ropa,la miel es muy liquida y no es posible por que no se puede,por que es muy liquida,que una simple piedra puede ser una escultura,porque es algo que con ese material se hacen esculturas,que una persona no puede ser dura,por que cada persona tiene sentimientos,que te puede cubrir,por que una banqueta es muy dura,que una silla donde quiera se encuentra,porque hay muchas sillas,que son muy �giles,porque hacen ejercicio,que si no te apresuras el tiempo te llega de sorpresa,porque las cosas se te juntan
272,porque la pelota es un objeto,que su hermano se la pasa gritando,un juguete para estr�s,que brilla y te llama la atenci�n,es delgado de diferente color,blancos brillantes,cari�osa alegre,grande feliz y bonita,que pasa pero nunca se queda,que pase lo que pase el tiempo te lo repondr� para bien o para mal dependiendo tus acciones buenas o malas,que son brillantes,no porque las estrellas est�n hechas de peque�os asteroides,que est�n hechos de tela,si la mayor�a son de tela,que pueden llenarse de miel,no porque no existen,que son hechos a base de piedra,si a eso se dedican los escultores,que hay algo duro o es malo,no porque no est�n hechos de hierro,que no es real,no porque no abrigan son hechos de cemento,que la silla no se mueven solas,no es posible porque las sillas no corren o caminan,que hacen un deporte,si es posible porque es algo que cualquier persona puede hacer,entre mas tardes mas tiempo necesitaras,si porque cuando haces algo que te gusta se te pasa el tiempo de volada y cuando no es una eternidad
273,por que las pelotas no cantan,por siempre mete goles,la cabeza,que es una pelota m�gica o especial,bonito,son brillantes,tierna,que sonr�e siempre,que no importa el pasado,que no hay que pensar en lo pasado,que las estrellas son muy brillantes,por que tienen un gran resplendor,que son muy suaves,por que as� nos gusta tener la ropa,que son muy c�modos,hay en ocasiones que los zapatos son muy c�modos por eso dicen eso,que las esculturas son as�,por que as� son mas bonitas las esculturas,que las amas de casa nunca se cansan y aunque est�n cansadas tienen que hacerlo,por que algunas personas les gusta mucho hacer esa labor,que siempre esta caliente por que pasan muchos carros o coches,por que as� est�n,que alguien se va a sentar all�,por que la gente se cansa,por que ese es su trabajo,por que es su pasi�n,que hay tiempo para todo,por algunas personas no hacen lo que deben
274,por que cuando cae o la mueves hace sonidos,quiere decir mi hermanito todo el tiempo grita,el estropajo,es un reconocimiento de tu esfuerzo,de estropajo sus caracter�sticas son rubio maltratado y duro,brillantes por la pasta dental,tierna alegre risue�a bonita,transparente y se derrite,ocurrieron pesadillas,que habr� nuevas oportunidades y que pasaran cosas mejores,cuando hace mucho frio,si si es posible todo en esta vida es posible,prenda de tela o de algod�n,si es posible por que la mayor poblaci�n usa prendas de tela,zapato de cuero cubierto con miel,por que se nos pegar�an los pies o nos picar�an las abejas,arte de grandes escultores esta esta hecha de piedra,si es posible por que es algo que hacen los escultores y eso es tener algo de cultura,persona sin sentimientos,por que por mas que una persona sea mala todos los seres humanos tenemos sentimientos,banqueta pavimentada cubierta con basura,si por que a la comunidad no le gusta limpiar,la silla de ruedas ya llego,por que si hay sillas que se mueven,persona haciendo ejercicio,si por que son muy deportivos,que para todo hay tiempo,si por que de todos modos lo vas a hacer
275,porque una pelota no puede cantar,que el hermano se la pasa gritando,un perro,yo creo que es la luna,lacio y largo,blancos y muy brillantes,agradable,una sonrisa falsa,que la noche ya paso,que tenemos que esperar y ser pacientes para que la vida nos traiga mejores momentos,las estrellas que brillan,porque si porque las estrellas que brillan en el cielo podemos imaginar eso,vestidos hechos de tela,porque hay vestidos que son de tela como tambi�n de otros materiales,creo que zapatos hechos de miel o algo as�,no es posible porque los zapatos est�n hechos de materiales s�lidos,una escultura echa con material de la piedra,si porque as� como hay esculturas de bronce plata oro puede a ver de piedra y de mucho mas,una alama a la que no le duele nada,yo digo que no porque a una aroma todo le duele depende de lo que sea,que por ejemplo una persona que no tiene un hogar puede sentirse abrigado simplemente por una banqueta,yo digo que si porque una persona que no tiene amor puede estar bien hasta en un a banqueta,como que ya llego la soluci�n a tus problemas,si porque es cuando nuestra vida puede empezar a mejorar,que las personas que son atletas pues corren y deben tener la habilidad para hacerlo e ir mejorando cada d�a mas,si porque los atletas deben de tener esa habilidad porque son atletas,que si el tiempo es suficiente para poder hacer actividades,no porque el tiempo de el d�a a d�a es muy corto para realizar nuestras tareas
276,por que no,que es muy grito,es como un animal,es una pelota de plata,es como la pulpa de una sabana,hermosos,tierna,bonita,se va,que se mejorar la situaci�n,si ya estrellas de cristal,yo dijo que si por que si ya y son de adorno,que toda la ropa esta hecha de tela,pues yo dijo que si por que toda la ropa esta hecha de tela,que no se puede,pues dijo que no es posible por que con la miel no s� puede,que si se puede hacer de piedra,yo dijo que si es posible por que las utilizan para adornos,que no tiene sentimientos,yo dijo que no por que todo ser humano tiene sentimientos,que no es abrigadora,no por que todas las banquetas son fr�as,que llego la silla,0,que es un deporte,yo dijo que si por que es el deporte que a ellos el gusta,que el tiempo pasa,que si por que el tiempo pasa
277,por que no hay muchas cosas con forma de pelota,que su hermano es una latoso,bolas de pelo ca�dos,es un trofeo de f�tbol el trofeo tiene una pelota de plata,cabello enredado,blancos y brillantes,es cari�osa y linda,fr�a y helada,paso y comenz� un nuevo d�a,que si algo salio mal puede haber d�a mejores que el otro,que una estrella esta echa de cristal,no es posible por que las estrellas no puedes estar echa de cristal,que esta hecho de tela,por que toda la ropa o cualquier tipo de ropa para vestir esta hecho de tela,que est�n hechos de miel,no es posible por que los zapatos de miel serian inc�modos y pegajosos,que se pueden hacer de diferentes cosas,por que hay esculturas echas de piedra etc,no tiene sentido,por que las almas es il�gico que este hecho de hierro y solo se usan en expresiones,no tiene sentido,no tiene sentido,no tiene sentido,no por que las sillas no se mueven,que los atletas corren,por que todo deportista corre o camina o trota,nada,por que el tiempo no para no es posible pararlo aun as� el tiempo correr�a y jamas parara
278,por que me lo imagine as�,que llega a gritar mucho,un gato,pues pens� en un jardinero por que hace el mantenimiento de las plantas,chino o esponjado,son brillosos,es tierna y amigable,muy blanca,ya paso,tuvo un mal d�a pero habr� mejores,que sean muy brillantes,por que las estrellas brillan mucho,que est�s como en vuelta en cobijas o sabanas o algo as�,por que seria padre y la tela te cubrir�a,que estar�an bonitos aunque nunca lo hab�a pensado,por que serian curiosos al mismo tiempo que raros,que si se puede,por que es un material padre para realizarla,que seria fuerte,por que pueden ser personas muy fuertes mental mente,que si se podr�a poder,por que si puedes pensarlo tal vez lo puedes hacer,que se pudo mover,por que puede ser posible,que se mueven,por que mantienen su figura y condici�n,que el tiempo corre o va pasando,por que puede pasar que estas divagando y en menos que esperabas ya es tarde o etc
279,por que no cantan,que es muy gritos,un gato etc,que es cara y cuesta mucho,feo y duro,bonitos y blancos,lindo y tierno,fr�a,que ya paso la noche,que pasaran cosas mejores,que son brillantes y bonitas y fr�giles,por que las estrellas no son de cristal,que es de tela,por que todos los vestidos son de tela,pues que son de piel,por que los zapatos no pueden ser de miel,que esta dura e inm�vil y es de piedra,por que si hay algunas estatuas de piedra,que su alma es fuerte,por que ninguna alma es de hierro,que es caliente,por que no hay banquetas abrigadoras,0,por que las sillas no caminan,que hace ejercicio cuando corre,por que un atleta corre,que ya se te esta acabando el tiempo o que el tiempo alcanza para todo,por que pasa el tiempo
280,no es canci�n,que mi hermano grita mucho y ase estallar alas personas,mi cabeza,que es muy brillante,maltratado,cuidados y brillantes,tierna,sonrisa blanca,ya se meti�,que habr� d�as mejore que este,que muy fr�gil,por que ah� cosas fr�giles,vestido de tela,por que todos son de tela,no ah�,no existen,esculturas,por que todas son de piedra,que alguien es muy duro,por que puedes ser malas,que es suave y caliente,no por que no existen,que ya esta una silla,las sillas no caminan,que son atletas,tienes que caminar,que si te apuras te alcanza el tiempo,si por que si ah� tiempo
281,no tiene boca,que es fastidioso,rat�n,es de el color plata,0,brillantes,linda,blanco,mucho tiempo,que no sabes lo que te puede par algo mucho mejor,una estrella muy brillante,por que no puede flotar una estrella de cristal,un atuendo,por que no tendr�amos con que taparnos,una cosa para tapar los pies,para proteger los pies,arte,por que si no existiera el arte no supi�ramos lo que paso antes,0,porque si fuera alma de hierro fu�ramos mas pesados,0,por que la banqueta esta echa de grava y arena,por que no caminan,por que no caminan,que corren para ganar,por que es normal,que pasa el tiempo r�pido,es normal
282,por que se puede referir a una persona que se la pasa cantando,que grita mucho,un gato,que vale mucho para una persona,maltratado,blancos,tierna,siempre presente,algo que le da pena decir,que a pesar de que est�n pasando cosas feas en ese tiempo se van a recuperar y todo estar� mejor,una estatua hecha de cristal en forma de estrella,por que he visto que hay accesorios de cristal en forma de estrella,un vestido hecho de tela,por que todos los vestidos que yo he visto est�n hechos de tela,zapatos pegajosos,por que serian muy inc�modos usarlos,una escultura con piedra picada,por que en la mayor�a de las estatuas est�n hechas de piedra y es muy f�cil de hacer las estatuas con ese material,pues un alma muy dura y fuerte,que soporta cosas muy fuertes,que si las personas se suben a la banqueta las personas est�n mas seguras de tener un accidente,por que si se suben a la banqueta est�n mas seguros,que la silla esta en donde se van a sentar,por que se deben de sentar en la silla,que los atletas corren para llegar a la meta,por que todos los atletas tienen la meta de seguir adelante y para eso tienen que correr,que el tiempo se va y lo que ya no hiciste ya no lo puedes volver a hacer,por que algunas personas desperdician su tiempo
283,no,ya es grande y grita,la mascota,podr�a ser una cadena de plata,largo corto o de colores,blancos,alta y estudiosa,agradable,dormir,que tendr�s tiempo para recuperar lo perdido,objeto,si es posible ya que existe los materiales,objeto que sirve para vestir,ya que existe,objeto de calzado,si es posible,cosa hecha a una persona,si ya existe lo necesario,cosa que se extrae,no,objeto que protege de algo,ya que no existe,objeto para sentarse,ya existe,aquel que hace ejercicio o corre,ya existe,numero,ya que sirve
284,por que no hablan y ya ja,que grita mucho,la vulva,que brilla,que esta feo,que brillan y son blancos,que es muy tierna,que es muy fr�a la sonrisa,que ya es pasado,que vendr�n mejores cosas como oportunidades,0,0,que son vestidos de tela normal,por que si,0,0,que esta hecho de piedra,por que si existen,0,0,0,0,0,por que las sillas no caminan,por que tienen 2 pies,por que si pueden correr,depende por que luego necesitas mas tiempo,por que si y ya
285,las pelotas no tienen la habilidad de cantar,que se la pasa gritando todo el tiempo,un gato,que es una moneda de plata,enredado,blancos,tierna y agradable,que casi no sonr�e,desapareci� cundo salio el sol,que tendr�n oportunidades mejores,por que no est�n hechas de esos materiales,por que no tienen esa posibilidad de hacerse,que si existen,por que si se puede hacer de eso ya que ese material si existe,que no est�n hechos de eso,por que es algo il�gico al menos que se este expresando en forma literaria,que si hay objetos hechos con piedra,si porque personas han hecho estas obras y han ganado dinero,que una persona es muy fuerte y ruda,por que es algo literario,por que nos protege algunas veces de los autom�viles,por que estamos asegurados,que alguien la llevo,yo opino que es algo literario,que se est�n ejercitando,por que cuidan su f�sico y su salud,que no tenemos tiempo de hacer cosas,por que esta representado en forma literario
286,por que no hay bolas que canten,que mi hermana grita,la mascota,que hay una bola de aluminio,es como una planta que tiene pelo,son dientes con forma de perlas,alegre y divertida,es una persona con los dientes azules o comiendo hielo,que la noche paso cuando nos dormimos y descansamos,que vendr� alg�n tiempo que todo ir� bien o te ir� mejor en el futuro,que tal ves existan aunque tal vez no existan por puede haber estrellas de cristal,por que el universo es enorme hay muchas cosas no exploradas por el humano o vistas por el ojo humano,que si hay vestidos de tela por que a lo largo de los anos el hombre a creado nuevas formas de vestimenta,es posible por el hombre a podido crear tela y vestimentas,que no han inventado los zapatos de miel,no es posible por que los zapatos de miel atraer�an alas abejas o depredadores,que si hay esculturas de personas en piedra,por que se pueden moldear las piedras con forma o car�cter humano,que no hay almas de hierro mas adelante las podr�an crear,no es posible por que el alma es transparente a menos que digas mi alama es de hierro,que hay banquetas calentitas con el sol,es posible por que la banqueta esta calentita con el sol durante la noche,que hay una silla nueva,no es posible por que no tienen pies las sillas,que las personas con alguna experiencia corren mucho y no se cansan,corren muy r�pido y velos,que el tiempo pasa r�pido,por que el tiempo pasa cuando haces algunas cosas
287,por que al escucharse no tiene sentido,que mi hermanito es muy grit�n,el carro,que hay mucha plata,son nubes muy blancas llenas de leche,que la piel es muy suave,que es una mirada como pervertida,se le puede decir as� a una persona cuando es muy amargada,que el verano llega ala ciudad,que ya se acerca una fecha muy importante para mucha gente,que tienes unas piernas muy fuertes,por que es depende de como sea la persona,que es una forma de aclarar algo,por que si,0,0,que el carb�n se prende,por que lo prendes,que una persona es amarga,por que hay persona que si lo son,que alguna persona tiene unos calcetines muy caros,por que hay personas que les gustan las cosas de mucho valor,que,mm,que la gaviota es un animal que vuela,por debe de ser posible,por que avisan que ya mero llega la noche,por que todos los d�as hay noches
288,por que casi no le entiendo al poema,por que grita mucho,mi perro,pues pelta de plata,grandes,suave,ardiente,�mbar,flores muy lindas,y santa Claus bajo,duras,pues ni modo de que te operen y te pongan hierro,no es posible,por que se rompe,0,pues por que no se puede,0,por que el carb�n es caliente,ojos enojados,0,calceta limpia,por que nuestros pies tienen bacterias,0,0,0,no s�,0,0
289,el autor del poema tiene una forma de expresar con la palabra pelota una persona as� que tendr�a sentido en decirlo de esa manera,se refiere a que su hermano es una persona gritona,un gato,como el autor trata de poner personas u objetos como pelotas por tanto yo decid� poner que la luna era una pelota de plata,unas nubes muy blancas,una piel muy suave,mirada bonita y encantadora,tristes,la estaci�n del verano va a empezar,ya es navidad,unas piernas fuertes,no seria posible en la vida real solo hablando en sentido figurado es que se podr�a decir as�,un sobre hecho de papel,si seria posible ya que hasta la fecha si existe un sobre de papel,un calendario cuyo material es de una textura �spera,no hasta la fecha no hay invento como ese y como yo lo imagino no seria agradable,un carb�n caliente,si porque un carb�n si se calienta estando en el fuego,unos ojos que no reflejan sentimiento alguno,solo hablando en sentido figurado se podr�a decir eso,calceta color plateada,puede haber una calceta color plateada,puede ser que una persona que trae una cebolla esta llegando,una persona si puede llegar con una cebolla pero no podr�a llegar una cebolla por si sola,que una gaviota esta volando,una gaviota si vuela,la hora en que empieza la noche ya empez�,si es posible que se haga de noche
290,por que las pelotas no cantan,quiere decir que los ni�os gritan mucho,mi cabeza,no tengo idea,son blancas grandes y son de vapor,suave delicada,es fija y linda,son grandes y de diferentes colores,hace mucho calor,que llego el frio,que tienes piernas fuertes,no es posible tener piernas de acero a menos que seas un robot ,yo entiendo que es donde guardas las cartas para despu�s entregarlas,por que existen esos sobres,no tengo idea,no se que sea eso,un carb�n ardiendo ,por que el carb�n es utilizado para prender fuego,como vista mala o vista triste,por que mucha gente es muy amargado y ven a los dem�s con amargura,ni idea,no existen las calcetas de plata,no tengo idea,no es posible por que la cebolla no camina,ni idea,por que las gaviotas si vuelan,0,por que si llega la noche
291,por que tiene otra forma de expresarse,que es muy la toso,la rabo de conejo,que es un aro hecho de plata son los que utilizan los del circo,no tiene forma solo si lo pones en un recipiente y es liquida y rica,sedosa y suave,caliente,un sabor muy amargo,que vienen las vacaciones,que la familia se re�nen,que tiene buena forma,ya es depende de la persona si se quiere poner en forma,escribir sobre el papel,por que para eso es el papel,nada,por eso eso se utiliza para cosas de la casa,nada,por que si fuera ardiente se quemar�a y no aria frutos,nada,por que los ojos no tiene sabor,nada,por que te lastimar�a,nada,por que no tiene pies para que llegue,que ellas hacen lo que quieran,por que tiene alas,que el sol se va a meter,por que tenemos que descasar
292,por que no da sentido con el poema,que es bien grit�n,el pelo,que puede ser algo de plata,por que es blanca,por que ay personas que tiene sus piel suave o otras rasposa,que alguien tiene la mirada muy pesada,pues que ay personas que tienen sus ojos de colores,pues que llega las vacaciones,que te juntas con tu familia por pasar el anos juntos,que son piernas fuertes,por que no ay piernas de acero,que puedes escribir sobre el,si por que si es posible,por que no es cierto,por que no es cierto,por cuando tienes una fogata,si es cierto,por que no ay ojos amargos,por que no ay ojos amargos,por que no ay calceta de plata,por que no ay calceta de plata,por que no es posible,por que no es posible,son p�jaros de que pueden volar,si por que si vuelan,por que tienes que descansar,si por todos tenemos que descansar
293,porque se refiere a su mama como una pelota y su mama puede cantar,su hermano es un bebe que grita y llora mucho,el planeta,la luna es una esfera plateada,blancas,suave,profunda,malos enojados,se aproxima,que ya es navidad,piernas muy fuertes,porque si haces mucho ejercicio tus piernas se hacen muy fuertes como el acero,un sobre hecho de papel,porque el papel es un material con el que puedes hacer un sobre,que sobre el zacate se imprime o dise�a una manera para ver que d�a mes o a�o es,porque no creo que sea posible imprimir o escribir sobre un zacate,que el carb�n esta muy caliente,porque el carb�n se utiliza para prender fuego eso significa que se calienta demasiado,ojos llenos de sentimientos malos,porque los ojos pueden transmitir los sentimientos,una calceta que fue creada a base de plata,porque pueden transformar la plata en hilos para luego hacer la calceta,que la cebolla llega sola,porque la cebolla no tiene vida,que las gaviotas pueden trasladarse,porque la gaviotas tienen alas y la capacidad de volar,que la noche ya viene,porque todos los d�as a una hora la noche tiene que llegar
294,porque esta describiendo a su familiares por pelotas,que esta gritando su hermano,una bola de pelos,de que las partes de las plantas son su familia,esponjosas y blancas,de color carne y es parte del cuerpo,fija,redondos y de diferentes colores,salen todos de la escuela para vacaciones,que ya vienen los regalos y que se acerca el d�a de ver a tus familiares,que a una persona que se quedo paralitica le pongan piernas de acero,porque as� le puedes ayudar a volver a caminar y no por que no puede funcionar,que puedes pintar sobre el papel,si es posible pintar sobre el papel y no por que no sirve la pluma con que lo estas pintando,hacer un zacate calendario,no es posible hacer un calendario de zacate,que puedes hacer que se queme el carb�n,si es posible si es de buena calidad y si no es de buena calidad pues no se quemara,0,no es posible porque los ojos no tienen sentimientos,crear unas calcetas de plata,no seria posible porque pesar�a demasiado,que es �poca de la cebolla,si es posible por que llega su temporada y no cuando no esta su temporada,que vuelan las gaviotas,pues si vuelan porque son aves y no si no tienen alas,que ya se esta haciendo de noche,porque si se tiene que hacer de noche
295,porque es una met�fora,que el hermanito grita mucho,un perro,porque esa valiosa,blancas,lisa,enojada,serios,hay calor,que ya es navidad o va a ser navidad,que tiene un trasplante,si es posible porque lo e visto,que es un sobre de papel,si porque son los que se utilizaban y se utilizan para mandar cartas escritas,el calendario de otra cultura,es posible porque hay calendarios de otras culturas,que el carb�n arde,no porque el carb�n no puede hacer eso por si mismo,que la mirada es seria,si es posible ya pero es una frase,0,no porque seria il�gico,que la cebolla llega por si misma,no porque las cebollas son solo inmuebles,que un tipo de ave en este caso la gaviota vuela,si es posible porque la mayor�a de aves vuela,que es de noche,si es posible pero es una frase
296,puede ser una met�fora y la met�foras tienen sentido,que mi hermanito siempre grita,un perro,que la noche tiene color parecido a la plata,blancas,suave,ardiente,verdes,viene,que la navidad ya esta aqu�,que tiene piernas fuertes,creo que si es posible porque hay gente que tiene las piernas fuertes,que es un sobre hecho de papel,si es posible porque existen los sobres de papel,que es un calendario duro,no es posible porque no existen los calendarios de zacate,que el carb�n esta caliente,si es posible porque el carb�n se puede calentar,que tiene los ojos verdes,si es posible porque hay gente con los ojos verdes,que tiene unas calcetas bonitas,si es posible porque hay calcetas bonitas,que la cebolla ya me hizo llorar,si es posible porque la cebolla a veces hace que llores,que las gaviotas vuelan,si es posible porque es un ave que puede volar,que la noche ya esta aqu�,si es posible porque siempre tenemos noche
297,por que no cantan verdaderamente seria una met�fora,que su hermano siempre grita,un perro,es como ver a algo hermoso,de leche,de seda,ardiente,amargos,que viene y son vacaciones,tiempo con la familia abrir regalos etc,piernas de una escultura,si por que nada mas construyen la escultura,un sobre hecho de papel en el que puedes guardar cosas,si por que es hecho de papel,un calendario hecho por una esponja,no por que se desbaratar�a,que pones el carb�n con fuego para que puedan asar comida,si por que pones carb�n fuego dejar que se caliente y ya,ojos tristes,no por que no los pruebas los ojos,una calceta hecha de metal,no por que no puede ser hecha de plata,que la cebolla va a ir a un lugar,si porque la compras y llegas a un lugar,que un animal vuela,si por que es posible,que se aproxima la hora de dormir,si por que siempre en lo que inicia tambi�n hay un final
298,porque puede ser que su mama cantaba mucho,quiere decir que su hermano grita mucho es una met�fora,un perro o un conejo,la luna porque es blanca y refleja la luz del sol la pelota de fuego,blancas,muy suave,enojada apasionada,tristes sin felicidad,llega se va la primavera llega el solsticio de verano,llego la fecha navide�a,tener las piernas muy fuertes muy resistentes,si es posible porque pueden estar muy fuertes,un sobre que envuelve a una carta que esta hecho con papel,si es posible porque casi todos los sobres est�n hechos de papel,un calendario hecho de un material parecido a una esponja de mar,no no es posible porque el zacate es un material suave no puede hacerse un calendario ah�,que un carb�n esta muy caliente reci�n salido del fuego,es posible porque el carb�n se quema junto con el fuego,unos ojos muy tristes,es posible porque la tristeza siempre se nota en los ojos,una calceta muy brillante blanca y limpia,es posible porque hay calcetas as�,que una cebolla llego a alg�n lugar,no es posible porque las cebollas no caminan ni se mueven,que una gaviota vuela tiene alas,es posible porque las gaviotas tienen alas y pueden volar,que el d�a se va porque se oculta el sol por eso llega la noche,es posible porque todos los d�as hay noche
299,por que dice que su mama es la pelota que canta pero ella no es una pelota,lo que yo entiendo es que su hermano grita mucho y a eso se refiere,una mascota,hay copas de reyes que son de plata y tienen forma circular,las nubes serian esponjosas y gordas,la piel es suave y de un color diferente,la mirada es roja,los ojos son caf�s y con un toque de amargura,en el verano las hojas est�n perfectas hace calor hay mucho sol,para mi la frase significa que voy a convivir mucho rato con mi familia y me voy a divertir mucho,que las piernas son muy fuertes,por que las piernas humanas son muy fuertes,que es un sobre hecho de papel,los sobres normalmente est�n hechos de papel,un calendario que este hecho con la fibra con la que te ba�as,yo no creo por que normalmente los calendarios son de papel o son electr�nicos pero de zacate no creo ya que no serian muy visibles los n�meros o datos que hay en el calendario,que el carb�n esta en llamas,para hacer fuego se ocupa a veces carb�n,que hay personas amargas y se refleja por sus ojos,yo creo que si por que muchas veces las personas reflejan mucho por sus ojos,una calceta de plata,yo creo que no por que la plata no es flexible como la tela y no se podr�a acomodar a tu forma de pie como la tela,que la cebolla llega de alg�n lugar,yo creo que si ya que normalmente la comida se traslada y llega a su destino,que el ave vuela,yo creo que es posible ya que esa ave vuela y la e visto en videos,que al caer el sol la luna llega,es posible ya que es lo que pasa todos los d�as de nuestra existencia
300,por que se refiere a que su mama canta,se refiere a que su hermano grita mucho,la ropa,la luna es color plata y brilla,blancas,suave,muy enojada,color caf�,esta cerca,estamos en �poca de navidad,que tiene piernas muy fuertes,por que no se puede tener piernas de acero,un sobre hecho con una hoja de papel,por que esos sobres son muy comunes,un calendario hecho de zacate,por que no conozco esta expresi�n,que el carb�n esta prendido,por que as� haces las carnes asadas,que tiene los ojos color caf�,por que no se pueden probar lo ojos,que la calceta es color plata,por que serian muy pesadas,que hay olor a cebolla,por que no puede llegar una cebolla caminando,que las gaviotas vuelan,por que as� las hizo dios,que es de noche,por que hay 12 horas de d�a y 12 horas de noche y si se suman hace un d�a entero 24 horas
301,porque esta usando la frase para describir a su mama,quiere decir que su hermano grita mucho,podr�a ser otro animal como un h�mster,como en la primera frase dec�a pelota de fuego se me figuro a un sol as� que cuando le� pelota de plata autom�ticamente pens� en la luna,son nubes blancas,la piel es suave,la mirada es fija y llena de odio o enojo,son ojos cansados o viejos ojos sin ilusiones,la estaci�n de verano va a empezar,que por fin es navidad,que son piernas muy fuertes,creo que no es posible porque en mi vida e visto piernas de acero pero prefiero pensar que podr�a llegar a ser posible,que el sobre esta hecho de papel,porque los sobres que venden en papeler�as est�n hechos de papel,que el papel del calendario esta duro,porque el zacate es duro y grueso y porque nadie ocupa un calendario para ba�arse tambi�n no se podr�a imprimir las letras en un zacate,que el carb�n esta caliente,si es posible porque el carb�n se usa como para hacer carnes asadas as� que tiene contacto con el fuego,ojos tristes o de una persona enojada y harta,creo que es posible porque ya e visto esos ojos y porque la frase se usa como met�fora,calceta gris,no seria como usar una calceta hecha de plata es posible si se usa la met�fora,que la cebolla le llega a alguien a los ojos,si porque cuando partes cebolla lloras,que las gaviotas pueden volar,si porque tienen alas y porque as� las crearon,es que la noche esta a punto de llegar,si porque el cielo se pone oscuro cada d�a
302,por que son recursos que los poemas utilizan para rimar y tienen doble sentido,que su hermano es muy llor�n y enoj�n y de todo grita,que es una persona que tiene mucha cabellera,es una persona muy valiosa,muy blancas,muy suaves,enojada,tristes,que ya se acerca la fecha del verano,que es hora de festejar la navidad ,que son fuertes,por que acero se refiere a fuertes y todo mundo puede tener piernas fuertes,que no vales nada solo sobras,por que es una forma de expresarse pero tiene doble sentido,los d�as son muy feos,por que es doble sentido,que esta muy caliente,por que es doble sentido,ojos tristes,por que es doble sentido,que es un recuerdo valioso,por que es doble sentido,que te hace llorar,por que es doble sentido,que todo pasa muy r�pido,por que es doble sentido,se oscurece,por que pasa
303,que,que,que,qwewqe,que,que,que,que,que,que,que,que,algo que contiene una carta y es de papel,porque existe,0,0,le puedes prender fuego,por que si le prende o lo calientas con algo se puede prender,ojos que tristes sin vida,porque pienso que eso es lo que es y lo he visto,algo que puede valer mucho,siento que eso es lo que significan,0,0,que alguien puede llegar con lo que se propone y que un ave vuela,es lo que pienso,si hay luz hay oscuridad y no importa que tan fuerte es el d�a siempre llegara la noche,lo he visto y vivido
