,idPersona,sexo,por_que_pelota_que_canta,por_que_pelota_que_canta_count_total,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos_count_total,que_otra_cosa_podria_ser_una_pelota_de_pelos,que_otra_cosa_podria_ser_una_pelota_de_pelos_count_total,explica_tu_respuesta_en_la_frase_pelota_de_plata,explica_tu_respuesta_en_la_frase_pelota_de_plata_count_total,c1t,c1t_count_total,c2t,c2t_count_total,c3t,c3t_count_total,c4t,c4t_count_total,c5t,c5t_count_total,c6t,c6t_count_total,que_significa_1,que_significa_1_count_total,por_que_crees_que_si_o_no_es_posible_1,por_que_crees_que_si_o_no_es_posible_1_count_total,que_significa_2,que_significa_2_count_total,por_que_crees_que_si_o_que_no_es_posible_2,por_que_crees_que_si_o_que_no_es_posible_2_count_total,que_significa_3,que_significa_3_count_total,por_que_crees_que_si_o_que_no_es_posible_3,por_que_crees_que_si_o_que_no_es_posible_3_count_total,que_significa_4,que_significa_4_count_total,por_que_crees_que_si_o_que_no_es_posible_4,por_que_crees_que_si_o_que_no_es_posible_4_count_total,que_significa_5,que_significa_5_count_total,por_que_crees_que_si_o_que_no_es_posible_5,por_que_crees_que_si_o_que_no_es_posible_5_count_total,que_significa_6,que_significa_6_count_total,por_que_crees_que_si_o_que_no_es_posible_6,por_que_crees_que_si_o_que_no_es_posible_6_count_total,que_significa_7,que_significa_7_count_total,por_que_crees_que_si_o_que_no_es_posible_7,por_que_crees_que_si_o_que_no_es_posible_7_count_total,que_significa_8,que_significa_8_count_total,por_que_crees_que_si_o_que_no_es_posible_8,por_que_crees_que_si_o_que_no_es_posible_8_count_total,que_significa_9,que_significa_9_count_total,por_que_crees_que_si_o_que_no_es_posible_9,por_que_crees_que_si_o_que_no_es_posible_9_count_total,lista_de_valores,promedio_total
237,238,f,pues por que solo las pelotas suenan o asi pero no cantan,,que su hermano grita mucho,,la de el gato,,una pelota que esta hecha de plata,,no lo se,,los dientes de los ninos,,es una hermana tierna,,son las sonrisas que son falsas,,que ya paso,,que hoy no fue tu dia pero puede que el siguiente dia sea mejor,,no existen,,no por que nunca he oido de ellas,,un vestido hecho con tela,,por que ay vestidos de piel o asi y ese es hecho con tela,,son los zapatos bonitos,,por que hay algunos que estan bonitos y otros no,,son las figuras que estan hechas como de barro o asi,,por que luego cuando vas a museos o playas ahi hay figuras marcadas de piedra,,una alma fuerte,,por que hay personas con sentimientos fuertes,,nunca he oido hablar de ello,,no lo conozco,,que la silla camina,,por que las sillas no caminan,,por que todos los que son atletas corren,,por que por eso entrenan,,o sea que las cosas pasan y ya no puedes hacer nada para detenerlo,,por que hay personas que ya son grandes y ya no pueden regresar el tiempo atras,,,
238,239,f,porque estan haciendo en forma de una metafora,,que el hermanito es muy ruidoso,,un gato,,porque es mi modelo a seguir,,grueso,,extremadamente blancos e higienicos,,amable,,muy bonita y sincera,,un problema,,que pasaran cosas mejores en el futuro,,que son muy sensibles,,por la variedad de estrellas que hay,,la ropa,,porque es el material que se utiliza,,que estan pegajosos,,porque sudamos mucho,,una figura hecha en piedra,,porque lo he visto,,alma que es fuerte,,porque hay personas asi,,la calle es abrigadora,,porque no lo es,,el descanso ya llego,,porque es una metafora,,hacen deporte,,porque existen,,todavia hay tiempo,,porque ya lo he visto,,,
239,240,f,por q no rima con nada lo que escrivi,,mi hermanito me estresa cada bes que grita.,,un gato,,no sabia q con testar,,del gado,,blancos,,con pelo negro y ojos cafe,,grande,,que no te fue bien esa noche,,olvida lo que ya paso sige con tu camino,,que las estrellas son de cristal,,por que gamas e visto estrellas de cristal,,que tienes un vestido de tela,,por q esos si son verdaderos,,que ay zapatos de miel,,por q no se a inventado,,que estan grabando tu memoria,,nuestros ancestros lo hacian,,que tienes alma de hierro,,por q solo pasa en las peliculas de asion,,q una banqueta te esta abrigando,,las banquetas no abrigan,,q se mobio sola la silla,,las sillas no se mueven solas,,q van a correr,,a eso se dedican,,el tiempo va atras de ti,,por q el tiempo no corre,,,
240,241,f,por que pensandolo y analizandolo bien no tiene nada que ver es algo ilogico,,que su hermanito grita mucho,,un animal,,que es algo nuevo,,que es liso,,duros y brillantes,,linda,,sonrisa pero cara de enojada,,que se fue para que saliera el sol,,que si pasas momentos malos te pasaran momentos bonitos despues,,estrellas muy frajiles,,si es posible por que se pueden inventar,,ropa hercha de franelas,,si por que ya esta inventada,,zapatos cafes claros,,si por que si hay,,escultura hecha de barro,,si por que ya an hecho,,alma cruel,,si por que hay personas con sentimientos frios,,NS,,NS,,NS,,por que quisas alla sillas asi,,personas corriendo,,si por que si hay,,el tiempo es mucho,,por que es cierto,,,
241,242,f,por que hay algunas pelotas que tienen sonido,,que un nino es muy ruidoso,,un perrito,,la luna por que es redonda y color como gris,,"amarillo, feo y enredado.",,"son brillosos ,blancos y limpios.",,"buena, bonita y amorosa.",,es fria .,,desaparesio.,,que debemos de olvidar los tiempos que quedaron atras .,,estrella fragil.,,"si, por que aveses las usan para decorar.",,ropa,,"si, por que todos son de tela",,la miel en tus pies,,por que no tiene sentido,,un arte,,por que son arte de los museos.,,una persona fuerte.,,por que hay personas que no son tristes.,,non se,,no tiene sentido.,,que una silla se movio.,,no tiene sentido .,,que un es un deportista .,,por que los deportistas tienen que correr.,,que el tiempo sobra,,por que silo haces rrapido te sobra el tiempo,,,
242,243,f,por que se trata de una persona que canta,,que mi ermano grita mucho,,gato o un hamster,,por que la luna tiene un lijero tono de plata,,suave o maltratado,,blancos,,buena,,una sonrisa fria,,la noche se fue por que esta saliendo el sol,,que podria pasarte mejores cosas que las que has pasado,,que las estrellas brillan,,por que las estrellas brillan de noche que paresen cristales que reflejan con la luz del sol,,que se visten con ropa de tela,,por que todos nos vestimos con ropa de tela,,que los zapatos pueden ser dulces y suaves,,por que no todos los zapatos son suaves o dulces,,hacer una figura con un troso de piedra,,por que hoy en dia se pueden hacer esculturas de piedra,,que no eres tan sensible como otrasb personas,,por que algunas personas no puden no ser sensibles a los sentimientos,,que puede haber alguien en que te sientes y te abrigue,,por que no se pueden sentar en las personas y ser abrigadas por ellas,,que llegaron las sillas,,si por que ne fiestas se necesitan las sillas,,que los atletas puden correr,,por que todos corren,,que aun hay tiempo,,por que en tu vida te queda mucho tiempo que vivir,,,
243,244,f,se esta rrefieriendo asu madre en la forma que ella puede o suele cantar,,su hermano grita o llora mucho y asi es como la autor@ se refiere a el en el sentido literario,,su gasto o perro. tambien puede decir que su cabeza es una pelota de pelos,,en la forma de que alo mejor su papa es el que tiene dinero o trabaja para tenerlo,,feo o talves bonito por que si se refiere a zacate aplastado o seco es un cabello maltratado pero se es bonito es q es un cabello igual,,brillantes o demasiado hermosos para no poder escribirlos sin terminos literarios y solo asi se da el significado,,"tierna, sonriente, y buena con esta persona para apreciarla tanto como en el texto",,que es como una sonrisa eterna o en este caso ........... de hielo por que tiene que estar congelada para estar siempre presente,,que ya se iso de dia y que talves la noche anterior paso algo significativo para esa persona,,que alo mejor esa persona esta pasando por un momento dificiil y cuando ese momento termine vendran tiempos y momentos mejores,,que brillan tanto o que son tan hermosas para representarlo asi,,si en terminos literales y no en terminos reales,,pues que y todos los vestidos o ropa o cualquier prenda es de ella,,si,,que los zapatos son comodos o tan suaves como y blandos como la miel,,por que hay zapatos muy suaves o comodos,,pues que es muy dura o resistente,,"si ya que da a entender que no solo hay esculturas de metal ,bronce,o plata u incluso oro sino que variedad es extensa",,que la persona es tan cruel que no sabe apreciar a alguien mas sino que solo se interesa en el y en su vida que no tanto tiempo para pensar en el dano que lesa hace alas personas que lo quieren o lo aprecian,,si por que si hay personas asi,,que solo vas tu y el entorno se vuelve tu amigo y asi lo expresa,,por que suele pasar,,no tiene significado ni sentido para mi,,no,,esta expresando la verdad,,por que los atletas corren para mantenerse en forma,,que si mides tu tiempo te va a alcanzar ala perfeccion todo lo que desees hacer,,por que si mides tu tiempo te vas a dar cuenta de que tienes tiempo de sobra,,,
244,245,f,por que suena bien,,por que siempre grita,,mi hermano,,por que ya esta byyejito,,por es amarillo,,por billan y los tiene biacos,,que es buena,,es bonita,,el pasado quedo atras,,que aigun dia te la bas a pasar bien,,por que brillan,,pro que brillan,,si ay bestidos de tela,,si ay,,por que no,,no,,NS,,si ay,,que tiene corazon de piedra,,por que si,,noce,,no ce,,NS,,NS,,no,,por que no,,NS,,si,,,
245,246,f,si por que la mama canta,,por que los ninos pequenos por lo regular gritan por todo,,un gato,,algo que es de plata o que vale plata para ti,,seco maltratado enredado,,bonitos brillosos blancos,,una persona con voz suave y linda,,una gran sonrisa,,que esta tratando de olvidar esa noche,,que en algun momento todo saldra como lo deseas y seras feliz,,que las estrellas y el cristal son similares,,q si por que las estrellas son tan bellas como un cristal,,que un vestido es de tela,,si por que los vestidos son de tela,,que sean unos zapatos delicados,,no por que no pueden haber zapatos de miel,,que una escultura es de piedra,,si es posible por que se pueden hacer esculturas de piedra pero de una piedra en especifico,,que tienes una alma invencible,,por que todos somos deviles aunque aparentemos ser fuertes,,que una banqueta te puede dar abrigo,,por que las banquetas son simples xd,,que ya ahi una silla para tomar asiento,,si por que alguien puede llevarte una silla o puedes tomarla tu,,que un atleta corre,,si por que es lo que hacen los atletas que es correr,,que tienes el tiempo suficiente para hacer lo que vas a hacer,,si por que aveces tenemos el tiempo necesario si sabes organizarte,,,
246,247,f,NS,,q es chillon,,perro,,NS,,bonito sedoso,,bonito,,bonita,,hermosa,,sii,,si,,porque no existen,,no porq no existen,,es un tipo de vestido de tela suave,,si porq son muy comunes den usarlos,,NS,,nose xdxddxdxd,,es una religion muy comun,,si porq es un arte,,son los q noc tienen setimiento,,los qn noc tienes sentimientos,,NS,,NS,,NS,,noase,,es una persona q corre,,porq corren,,q site alcansa el t5iempo,,NS,,,
247,248,f,por que no tiene ritmo,,que es un bb,,un animal,,por que es de color plata,,liso,,ovalo,,rica,,fria,,que salio el sol,,que hay mejor gente que otras,,NS,,nos pues la verdad nose,,que son de tela,,no pues la vdd es pro que sin la tela no avria ropa,,cuentos,,no es posible,,escultura,,por que a si resisten mas,,NS,,no es posible,,que la nina tiene frio,,no pz nse,,que ya hay asiento,,si por que es muy duro conseguir un lugar,,que asen ejercicio,,si,,que no hay mucho tiempo,,no,,,
248,249,f,si,,que siempre grita,,mi perro,,que soy muy brillante,,es grueso,,que las perlas brillan,,dulce,,cuando comes hielo y se te congela la boca,,me dormi,,NS,,que se rompe facil,,si por que quiere,,NS,,por que yo digo :v,,cuando se me cae la miel en los pies,,por que la otra vez se me callo :),,que una piedra esta bonita :),,por que hay piedras bonitas,,cuando tienes mucho hierro,,por que mi amiga tiene mucho hierro en su casa,,que nunca eh visto una,,por que nose,,que se vino caminando,,por que tiene patas :v,,que tiene pie de atleta,,por que wuelen feo :),,que ya me alcanzo,,por que me lo encontre,,,
249,250,f,porque las pelotas no pueden hablar y tampoco cantar,,que mi hermanito grita mucho,,un perro o un gato,,"creo que se refiere a la abuela porque ella como esta viejita tiene el cabello de plata, metaforicamente",,rubio,,blancos,,agradable,,blanca y fria,,ya paso,,que el futuro en el futuro habra cosas o momentos mejores que ahora,,que las estrellas son de cristal,,porque las estrellas nunca podran ser de cristal ya que son satelites naturales que emiten su propia luz o reflejan la del sol,,que los vestidos son de tela,,porque los vestidos si son de tela,,que los zapatos son de miel,,porque si fueran de miel serian pegajosos y no nos podriamos apoyar,,que una escultura es de piedra,,porque las esculturas pueden ser de diferentes materiales y uno de ellos es la piedra,,que el alma es de hierro,,"porque el alma no puede ser de hierro, el alma no se ve",,que la banqueta es abrigadora,,porque la banqueta es de cemento y no puede abrigar a alguien,,que la silla ya llego al lugar donde tenia que ir,,porque una silla no puede caminar por si sola,,que los que son atletas corren,,porque los atletas hacen ejercicio y pus tienen que correr,,que el tiempo puede alcanzar algo,,"porque el tiempo no se mueve o no camina, nosotros somos los que perdemos tiempo haciendo cosas que no",,,
250,251,f,porque es imposible que una pelota cante,,al hermano lo representa como una pelota y el grita mucho,,un gato o perro,,por que es de hierro la escultura y puede ser redonda,,suave a veces enredado y de color blanco,,son blancos y granes,,"muy carinosa,compasiva,dulce,amable y siempre esta cuidandome",,fria y dura,,la noche finaliza y llaga el dia,,que pueden mejorar las cosas a como estan ahora,,que las estrellas pueden se trasparentes,,por que las estrellas son masas de fuego y no pueden ser de cristal,,que los vestidos puede ser muy suaves y hermosos,,es posible porque e esos estan ellos algunos vestidos,,que los zapatos pueden ser de miel,,no es posible ya que los zapatos no serian zapatos,,que algo o alguien esta representado en una piedra,,es posible porque en la actualizad ay muchos formas de tallar y manipular las piedra para crear lo que nuestra imaginacion nos permita,,que las personas que tengan alma de hierro pueden ser malas,,si porque es como una metafora y se usa mucho para describir a las personas insensibles,,que la banqueta no es tan fria como las demas,,no es posible ya que todas las banquetas son maso menos iguales y ninguna calienta,,que han traido una silla,,si es posible porque la frase la pudo decir una persona que a traido la silla,,que las personas que hace ejercicio corren,,si porque es lo que atletas hacen,,porque todo tiene que pasar en estas vida,,"si por que todo tiene que suceder a su tiempo en esta vida, por ejemplo el ciclo de la vida todos nacemos crecemos y morimos en algun momento de nuestras vidas",,,
251,252,f,una pelota no se mueve ni tiene vida,,porque el grita mucho o muy fuerte,,un insecto o cosa,,porque el mundo solo es una parte del universo,,grueso y liso,,blancos y cada una es algo diferente en cuanto a su forma,,carinosa y amable,,fria o no demuestra el sentimiento de una sonrisa,,lo que paso se queda en el pasado,,si a una persona le fue mal en algun asunto laboral puede que despues le valla mejor o puede que mejore,,que las estrellas pueden ser del material que tu imagines,,por que las estrellas son cuerpos celestes,,que la persona que lo usa es normal y puede ser libre ante las opiniones de los demas,,porque es el material que se utiliza para hacer un vestido o prenda,,que una persona tiene una vida relajada o sin tantos problemas,,por que ese material no es resistente para unos zapatos,,lo dura que puede ser una persona o una estatua,,por que generalmente de eso esta hecha una escultura,,que una persona no sea tan fragil como los demas y no le duela tanto lo que pase con los demas,,por el caracter de una persona,,que una persona puede quedarse ahi y no en una casa que seria lo adecuado,,por si una persona no tiene hogar puede estar en un sitio asi,,que alguien ha llegado,,porque una silla no se puede mover,,cada persona hace lo que le corresponda,,por que es su oficio,,que el tiempo pasa muy rapido,,por que los anos pasan rapido,,,
252,253,f,es extrana la palabra y aparte las pelotas no hablan mucho menos cantan,,que todo el tiempo llora y grita,,un animal que tenga pelos o un juguete que tenga pelos,,que es una pelota pesada y brillante,,pues enredado y maltratado,,"brillosos, limpios y relucientes",,"amable, tierna, amistosa y buena onda",,"pues fria, muy sencilla",,pues puede ser una tragedia o algo que no les gusto,,que desde hoy en adelante no abra ninguna tragedia o algo que no te guste o que suceda,,un cristal en forma de estrella,,por que hay personas que lo pueden hacer,,pues que son vestidos hechos con tela,,"por que e visto, me e puesto.",,zapatos hechos con miel,,por que no permanecen duros y no se puede,,un bloque de piedra que una persona tallo una escultura,,por que e visto en la tele como las hacen,,una persona que es resistente a todo,,por que puede pasar una tragedia y esa persona su alma aguanta,,por que las banquetas son frias,,por no tiene una cobija o algo por el estilo,,que podria caminar una silla y llego a casa,,que no por que no pueden caminar las sillas a cambio que alguien las cargue o las arrastren,,por que es un ejercicio basico que todos lo pueden hacer,,por que e visto,,que hay muy poquito tiempo,,por que me a pasado,,,
253,254,f,esta linda,,que su pelota es la mejor,,que el mismo trata de explicar sobre el tipo de pelota que el tiene y de echo es la pelota mas especial,,que todas las pelotas son importantes,,negro y hermoso,,lindos,,hermosa,,presiosa,,distancion,,no te rindas,,seria que es una estrella de diamantes,,por que seria super interesante,,vestidos muy raros como vestidos de gala,,por serian muy caros e lindos,,que zapatos con miel,,por que seria muy implosible,,estatua,,por que seria como una estatua,,que seria como alma fria,,por que no existe,,banqueta seca,,por que seria raro pisarla,,silla que camina,,que no porque no se podia,,atletas corredores,,por que todos podemos correr,,que abeses te sobrara tiempo,,por tu te puedes organizar mejor,,,
254,255,f,no le encuentro logica,,mi hermano es una persona que grita todo el tiempo,,cualquier aminal,,por que la luna es grande y brilla,,el cabello es largo y muy bonito,,los dientes son blancos y lo suficiente mente duros para morder cosas,,mi hermana es carinosa y tierna con todos,,sonrisa fria fingida,,que cada dia cada noche queda en el pasado,,que despues de todo lo malo bendran tiempos mejores con mas felicidades etc,,que las estrellas son fragiles,,por que las estrellas brillan como el cristal y son fragiles,,vestido de tela fragil tela delgada,,por que hay vestidos de tela,,que todo es dulce,,por que no todo en la vida es dulce y no hay zapotos de miel,,algo que permanece siempre en un mismo lugar,,por que hay cosas que siempre permanecen en su lugar nunca se mueben,,personas frias,,por que siempre hay personas de corazon frio,,que la calle es casa de algunos,,por que hay muchas personas que viden en la calle,,que se acabo la espera,,poe que si,,que los atletas corren sin parar,,por que son muy rapido,,hay tiempo suficiente para hacer lo que quieras,,si por que todo es posible,,,
255,256,f,por que no rima,,es un nino,,es un nino que se la pasa gritando todo el dia,,puede ser un modena por que exsiste demadera,,es suave con el cabello,,podria ser los girasoles,,que es dulce se mi hermana,,sonria fria,,pz quedo atras,,el vendra tiempo mejores,,que las estrallas son mas hermosa,,por que brilla las noches,,por q es pura ropa,,x qlo desitamos,,que los zapato son de miel,,por q si es puede ser el zapato de miel,,es una escultira garde,,por aymuchas y mas grades,,que el alma es dura,,por q ay muchas mas,,por q no ay,,por q no ay aqui,,pz a la vez,,por q no ay aqui,,que corre por las calle,,no lo se,,es muy lenta,,estabien va elnto,,,
256,257,f,NS,,por quegrita,,un gato,,moneda,,largo,,blancos,,de azucar,,grande,,seva,,sii,,NS,,NS,,NS,,porcosa,,NS,,porqueno,,NS,,por queno,,NS,,NS,,NS,,por cosas,,quiensabe,,NS,,nosepor cosa,,porsituaciones,,NS,,nose ocasiones,,,
257,258,f,xk rima,,mi hermanito grita mucho,,NS,,pelota de plata,,negro y largo,,blancos grandes y duros,,chismosa pero aveses buena,,NS,,se apaga el cielo,,vendran tienpos mas mejores,,NS,,pz xk no,,vestidos largos,,mmm no se,,NS,,NS,,NS,,NS,,NS,,NS,,NS,,NS,,NS,,NS,,NS,,NS,,NS,,NS,,,
258,259,f,porque no rima y es un poema,,mi hermano grita demasiado,,una pelota chida,,que es sincero,,maltratado,,muy blancos,,tierna,,brillante,,que pasa el tiempo rapido,,que habra dias en los que te la pasaras mejor que el dia anterior,,que es muy bonita,,"si es posible,porque las estrellas son bonitas",,que es muy bonita,,"si es posible,porque la puedes hacer moldeando hielo :(",,NS,,... :),,que hay esculturas echas con piedra :v,,si es posible porque las puedes hacer,,que eres muy fuerte,,"si es posible,por tu forma de ser",,que te sientes comodo,,"si es posible,porque te sientes comodo estando en ese ligar",,que ya te puedes sentar,,"si es posible,porque fueron por sillas para que una persona se pudiera sentar",,que son deportistas,,porque todos podemos correr,,"que tienes tiempo para todo,solo necesitas organizarte",,"si es posible,solo es cuestion de organizacion",,,
259,260,f,las pelotas no cantan,,que es muy inquieto,,una pelota de oro,,que es una pelota,,grande con puntas delgado o grueso,,grandes filosos y blancos,,es guera cabello corto dientes grandes etc,,grsande o delgada,,NS,,que si le hechamos ganas vamos a seguir adelamte,,NS,,xk esas brillan,,es lo que se ponen las muejres cuando tienen calor,,NS,,NS,,NS,,NS,,NS,,no entendi,,nooo see,,quiem sabe,,NS,,NS,,NS,,amm,,NS,,cualquier cosa podemos aser,,NS,,,
260,261,f,por q siii,,q asu hermano le gustan los grillos alv,,una cosa peluda alv,,pues q es algo q parece una pelota pero es un fruto o otra cosa alv,,pues negro y muy peludo alv,,pues muy briyantes alv,,bien mala y enojona alv,,q tiene su boca congelada alv,,muchas cosas uuuuu alv,,q va a ver dias mejores q otros alv,,pues quien sabe,,por q no existen,,pues vestido de tela alv,,por q se pueden aser alv,,pues un zapato enmielado alv para chuparlo mmmmmmm,,por q no se pueden aser alv broo,,pues un dibujo en una piedra,,por q si alv,,pues q tiene su alma muy fuerte alv prro,,por q yo digo q no y ya xdxd,,na da,,por no puede ser eso xdxd alv,,q la silla ya llego,,NS,,NS,,q corren los atletas,,NS,,por q no se,,,
261,262,f,las pelotas no cantan,,por que grita mucho,,un gato,,es una bola de color plata,,enredado,,blancos,,tierna,,apenas si sonrie,,se metio,,que va esta mejor,,por que no estan hechas de esos materiales,,"tu respuesta
por que no tienen esa posibilidad",,que estan elaborados de tela,,por que existe ese material,,que estan hechos de eso,,por que serian pegajosos,,que un objeto esta hecho de piedra,,si es posibles ya que las estatuas estan hechas a base de piedra,,que es fuerte,,es algo literario,,si por que nos protege,,por que estamos asegurados,,que alguien la trajo,,si ya que la tuvieron que traer,,que se estan ejercitando,,por que cuidan su fisico y salud,,que no tenemos tiempo para todo,,por que cada cosa lleva su tiempo,,,
262,263,f,por tiene sentido con el jugo y abla de pelota,,que mi hermono grita mucho,,"mi cabello,unglobo o un liston",,que se refiere a aigo que tenga vida como un arbol,,que tiene el cabello sucio,,que son blancos y briyantes,,carinosa,,triste,,quele pudo verposado algo malo,,que le fue mal,,que es uncristal o algo brillante,,por todo lo puede,,un vestido hermoso y brillante,,por que todo lo puede,,NS,,por que yamaria latension de una abeja,,NS,,por que puede se pude,,NS,,por que no y ya,,que brilla,,por que esta linpia,,que se las anel viado,,por elloa laopidieron,,que corren,,por que son profesi,,NS,,NS,,,
263,264,f,por que no,,por que es gordo y le gusta cantar,,un ponpon,,por que es de plata,,no entiendo,,no lo se,,bonita,,conjelada,,muchas cosas,,que pasara algo mejor,,que son frajiles,,por que tengo mucha imaginacion,,pues no se,,por que si,,que son dulses,,por que no,,NS,,por que ya existen,,NS,,por que no,,quien sabe,,nooo seeeee,,NS,,por que yo digo,,que son atleticos,,por que eso hacen,,que no hay tiempo,,por que tengo cosas que acer,,,
264,265,f,por que las pelotas no tienen voz ni estan vivas,,quiere decir que su hermano grita mucho,,un perro,,la luna es una pelota de plata porque su color se parece al de la plata,,muy esponjado,,blancos y brillantes,,gentil y carinosa,,sin mucho sentimiento,,se transformo en dia,,"que cuando pasas por algo malo, en algun momento eso pasara y todo estara bien otra vez",,que las estrellas son como pedazos de cristal,,por que no hay cristal en el espacio,,que los vestidos estan echos de tela,,es posible por que normalmente los vestidos estan echos con ese material,,que los zapatos tienen un color miel,,no es posible porque la miel se derrite y no puede funcionar como zapato,,que es una piedra con forma de algo,,por que la piedra se usa mucho para hacer esculturas,,que su alma es muy fuerte,,porque el alma no es algo material,,que la banqueta esta muy caliente,,"porque la banqueta sirve para caminar, no para abrigarse",,que ya hay una silla disponible,,"por que las sillas no llegan por si solas, alguien la tiene que llevar",,que los atletas de dedican a correr,,porque los atletas se dedican a hacer ejercicio,,que hay suficiente tiempo,,"por que cuando tienes tiempo de sobra, te alcanza para hacer algunas cosas",,,
265,266,f,ninguna pelota canta,,que grita demasiado,,mi mama,,que es plateada,,rizo,,blancos,,amable,,forzada,,el pasado,,mejores momentos,,son de cristal,,si,,hay,,si,,olorosos,,porque no,,que las esculturas son de piedra,,es posible,,es pura,,es pura,,que abrigan,,no,,que la silla hay esta,,no,,que corren los atletas,,si,,que alcanza,,no,,,
266,267,f,porque mi mama no es como una pelota y no veo como se puede parecer aun que se trate de una metafora,,que mi hermano grita y grita sin parar y sin sentido,,un gato,,"pues el lo unico a lo que le vi sentido, no como a todo lo demas",,enredado,,brillantes,,linda y amable,,seca,,noche que olvido,,no ess el mejor momento pero abra mejores situaciones,,que las estrellas parecen de cristal,,"puede ser posible en tu imaginacion, pero en la vida real solo es como una metafors",,que los vestidos estan hechos de tela,,si es posible por que la mayoria de vestidos son de tela,,puede ser zapatos color miel,,si por que hay deversos colores de zapatos,,que hay estatuas echas de piedra,,si porque ya hay estatuas hechas de piedra,,que eres mus secoa,,si por que es una metafora,,que la banqueta abriga o cubre,,si por la gente que vive en la calle pues la banqueta es lo unico que tienen y los cubre y proteje,,NS,,"puede ser una exprecion, si se estan mudando o algo asi pues dicen la mesa ya llego o la silla o lo que sea que halla llegado",,pues que con aletas puedes ir muy rapido,,si porque un pez con sus aletas puede ir mas rapido que el humano,,si tu cita es a las 2 apenas estas lista a la 1:30 pues el tiempo de esta alcanzando,,si por el ejemplo que di hace rato,,,
267,268,f,es la que lleva el orden y que cuida a la familia.,,que los ninos son muy energeticos y tienden a gritar mucho.,,otra mascota.,,que es muy poderoso en cuanto a lo que puede hacer por la familia.,,"maltratado, feo.",,super bonitos y brillantes.,,dulce y tierna.,,muy blanca.,,quedo en el pasado.,,todo se pondra mejor.,,que las estrellas son bonitas como el cristal,,porque hay muchas cosas bonitas en el mundo,,la tela es con lo que se hacen los vestidos.,,porque asi es como comunmente usamos los vestidos.,,que los zapatos son bonitos.,,porque hay muchos zapatos muy bonitos.,,que todas las personas somos unas esculturas justo asi como somos.,,porque todas las personas tenemos algo que nos hace completamente unicos y eso es lo que cuenta.,,"que tienes un alma muy fuerte, que supera cualquier obstaculo que se le ponga de frente.",,porque hay muchas personas que a pesar de los golpes de la vida han superado todo y han salido adelante.,,algo en la vida que es bueno.,,hay muchas cosas buenas en la vida.,,cuando te toca lo bueno es momento de disfrutarlo.,,porque al final todas las personas que hayan obrado bien se les recompensara.,,"si, porque todo lo que enfrenten es un reto nuevo a superar.",,"porque siempre que haces algo nuevo es un reto, y tu decides si lo logras o no.",,"si no disfrutas de la vida y las cosas buenas, el tiempo te alcanza.",,porque muchas personas que no lo disfrutan al final se arrepienten.,,,
268,269,f,pues por que rima :v,,osea que su hermano grita mucho,,una pelota de amor,,que puede ser una pelota de plaata oy eso te hece rico,,rasposo,,pues depende de cada persona,,pues llevada y no se aguanta y me pega y me jala de los y es muy chillona y muy payasa y lo que le sigue,,pues tambien depende de cada persona,,pues nada:v,,que vendras cosas mejores a kas que te han pasado en thu vida y puedens ser mejorados,,que son estrellas de cristal y son mas facil de romper son como tipo vidrio y pues es mas facil que se rompan cuando se te caen,,por que son mas faciles de romper,,un pedazo de tela de cualquier tipo de decoracion y formas diferentes,,por que es mas probable que se vea thus intimidades,,es miel en forma de zapato de cualquier tipo,,es un no por que no hay posibilidades de eso,,es un piedra que poco a poco se le da forma de algo,,por que hay instrumentos para eso,,mm pues una una alma de hierro osea dura,,pues no lo se,,una banqueta con algo que te puede abrigar en un momento que haga calor,,"por que si ,no",,que la silla ya llegon a un lugar citado,,pues por que si,,que un atleta corre en cualquier lugar o algun en especifico,,por que toda persona humana o atleta corre,,si cuando tienes un tiempo dado peor se te hace tarde y te llega el tiempo,,por que suele suceder en algunos casos,,,
269,270,f,por que las pelotas no cantan,,es cuando mi hermano siempre esta llorando o gritando,,mi sepillo para peinar,,que la luna es gris y plata tambien y es muy bonita,,es aquella tu cabello esta muy maltratado o feo,,son brillantes y bonitos,,mi hermana es muy empalagosa y linda,,que se derrite cuando la ves,,que se fue y llego el dia,,que si te fue mal en este dia a lo mejor el siguiente te ira un poco mejor,,son aquellas que estan hechas de cristal o algun otro materia,,puede ser posible por que hay muchas cosas hechas de eso,,son esos que estan hechos de telas con los que se puede hacer ropa cortinas entre otras,,por que hay muchas personas que se dedican a hacer ese tipo de cosas,,singinifica que son aquellos que se suponen que estan hechos de miel,,no es posible por que no existen ese tipo de zapatos,,es la que esta hecho de rocas,,puede ser posible por que muchos escultores han hecho esculturas de piedras,,son aquellas personas que no tienen sentimientos,,por que hay muchas personas que son muy frias,,es cuando te tropiezas y te pregunta si te caiste,,no es posible por que no hay de ese tipo de banquetas,,que acaban de traer una silla,,si es posible por que luego personas traen sillas y te las ofrecen por que las venden,,son aquellos que cuidan su salud y les gusta hacer ejercicio,,por que a muchas personas les gustas les gusta hacer ejercicio,,cuando si te organizas y el tiempo te alcanza,,por que si organizas todo lo que tienes que hacer al dia si te alcanza el tiempo,,,
