,idPersona,sexo,por_que_pelota_que_canta,por_que_pelota_que_canta_count_total,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos_count_total,que_otra_cosa_podria_ser_una_pelota_de_pelos,que_otra_cosa_podria_ser_una_pelota_de_pelos_count_total,explica_tu_respuesta_en_la_frase_pelota_de_plata,explica_tu_respuesta_en_la_frase_pelota_de_plata_count_total,c1t,c1t_count_total,c2t,c2t_count_total,c3t,c3t_count_total,c4t,c4t_count_total,c5t,c5t_count_total,c6t,c6t_count_total,que_significa_1,que_significa_1_count_total,por_que_crees_que_si_o_no_es_posible_1,por_que_crees_que_si_o_no_es_posible_1_count_total,que_significa_2,que_significa_2_count_total,por_que_crees_que_si_o_que_no_es_posible_2,por_que_crees_que_si_o_que_no_es_posible_2_count_total,que_significa_3,que_significa_3_count_total,por_que_crees_que_si_o_que_no_es_posible_3,por_que_crees_que_si_o_que_no_es_posible_3_count_total,que_significa_4,que_significa_4_count_total,por_que_crees_que_si_o_que_no_es_posible_4,por_que_crees_que_si_o_que_no_es_posible_4_count_total,que_significa_5,que_significa_5_count_total,por_que_crees_que_si_o_que_no_es_posible_5,por_que_crees_que_si_o_que_no_es_posible_5_count_total,que_significa_6,que_significa_6_count_total,por_que_crees_que_si_o_que_no_es_posible_6,por_que_crees_que_si_o_que_no_es_posible_6_count_total,que_significa_7,que_significa_7_count_total,por_que_crees_que_si_o_que_no_es_posible_7,por_que_crees_que_si_o_que_no_es_posible_7_count_total,que_significa_8,que_significa_8_count_total,por_que_crees_que_si_o_que_no_es_posible_8,por_que_crees_que_si_o_que_no_es_posible_8_count_total,que_significa_9,que_significa_9_count_total,por_que_crees_que_si_o_que_no_es_posible_9,por_que_crees_que_si_o_que_no_es_posible_9_count_total,lista_de_valores,promedio_total
245,246,f,no.porque no cantan,,que su hermano es griton*,,gato porque son peluditos,,NS,,suave como un papel,,muy valiosas,,NS,,NN,,que sientes como que no se va acabar por que se te van muy lentos los dias porque son muy aburridos,,que va muy rapido el tiempo,,como un decir de unos ojos color cafe claro,,porque no he visto que alguien tenga los ojos de color de miel porque es como un decir,,un collar hecho de muchas perlas,,hay collares de perlas,,como un  decir. que la escoba es hermosa,,no existen las escobas de cristal,,una sopa con mucha sal u otro tipo de comida,,porque a veces se les pasa la sal,,un abrazo muy muy suave,,porque si existen los abrazos suaves,,un lapiz que lo muerdes y no tiene sabor,,un lapiz no tiene sabor,,es como un decir,,porque un horno no se puede acercar,,un tren que va a todos lados,,porque un tren si viaja porque ellos a veces llevan gente o carga y viaja otro lugar,,es  como un decir,,los dias no pueden ir tan rapido,,,
246,247,f,no. porque una pelota no canta ,,que su hermano es griton*,,NS,,NS,,que esta hecha de papel,,son amarillas y brillantes como el oro,,son unos corazones helados,,NN,,que va como una tortuga,,que pasa muy rapido los segundos,,que tiene los ojos lindos,,porque puede ser que tengan los ojos amarillos como la miel,,que hay muchos collares de perlas,,porque existen collares de perlas,,que es una escoba de cristal,,no he visto una asi,,que a la comida le hechan mucha sal,,hay gente que utiliza mucha sal al preparar la comida,,que una persona tiene los brazos suaves,,por unos pesos tienen una piel muy suavecita,,que un lapiz sin sabor,,porque ningun lapiz tiene sabor,,que los hornos caminan,,no los hornos no caminan,,que el tren viaja por la via,,el tren va sobre la via,,que los dias pasan ,,porque los dias pasan muy rapido,,,
247,248,f,no. no tiene sentido,,que su hermano es griton*,,alguien bueno,,la maceta es la que sostienea la planta,,se cortan facilmente,,serian muy bonitas de clor oro,,osea que no siente amor,,un poco baja,,que va muy lento,,que va muy rapido en el tiempo,,no porque la miel no puede estar en los ojos,,no la miel no puede estar en los ojos eso seria  doloroso,,si son muy hermosos,,se ven hermosas la perlas de collar,,se quebrarian facilmente,,son muy fragiles cuando las utilizas,,cuando se pasa demasiado sal,,cuando se te puede pasar la sal en la comida,,cuando abrazas despasio a una persona,,cuando te abrazan despacio se siente suave,,los lapices nunca tienen sabor,,los lapices nunca tienen sabor,,no los hornos no pueden acercarse,,no se puede acercar.no creo que se pueda,,el tren si viaja ,,el tren viaja para llevar a los pasajeros,,porque pasan rapido los dias,,es decir que pasan demasiado rapido,,,
248,249,f,si. rima con no puedo contarlas,,que su hermano es griton*,,un perrocon pelos porque tiene mucho pelo,,NS,,suave,,huelen rico,,sensibles,,alegre,,el ano es muy lento ,,que los segundos pasan volando,,luego los pueden tener asi,,si es posible porque los pueden tener de un color,,collares de lujo,,es posible porque de todo se puede hacer,,no es posible porque se pueden romper,,no es posible. porque se pueden  romper,,luego asi la preparan,,si es posible porque alguna comida luego asi es,,que luego los puedes dar despacio,,si es posible porque luego los puedes despacio,,ningun lapiz tiene sabor,,no es posible porque ningun la piz tiene sabor,,los hornos no caminan ,,no es posible porque los hornos no caminan,,se puede transportar de un lugar a otro,,si es posible porque se puede trasladar de un lado a otro,,que los dias pueden pasar muy rapido,,si es posoble los dias pasan volando,,,
249,250,f,si.cada vez que rebota,,que su hermano es griton*,,un perro con pelos,,muchas hojas,,munecos hechos de papel. o manos cortadas por papel,,pintadas de color oro,,muy triste o decepcionado con alguien,,no muy grande,,las esataciones del ano. meses. anos,,se pasan muy rapido los dias y segundos,,ojos de color,,tener un color de ojos amarillo,,collar de perla de mar,,comprar las perlas en tiendas o encontrar en el mar,,no pueden mandar hacer con cristal,,seria muy caro mandar a hacerlas con cristal,,comida con mucha sal,,mucha sal a la comida ,,no abrazar muy fuerte,,tener mucho cuidado,,no lo hicieron con sabor,,no se puede con sabor,,los hornos no se mueven,,depende donde se pongan. no se puede,,pasan por estaciones,,viaja y pasa por estaciones a llevar personas,,se pasan muy rapido los dias,,muy corto el dia,,,
250,251,f,si. porque el poema trata de pelota,,que mi hermanito tiene una pelota de gritos,,porque una pelota de pelos la puede tener todos,,que es una pelota de plata,,que tienes el cuerpo de papel. y piel de papel,,son coloridas. bellas y huelen muy bien,,los corazones son rojos y grandes,,son muy bonitas y te alegran el dia,,que el ano va muy lento,,que los segundos van muy rapido,,que tiene unos bonitos ojos,,porque todo tiene una explicacion,,que tiene un collar de perlas muy bonito,,porque todo tiene una explicacion,,que tienens una escoba  que le deja el piso de cristal,,porque todo tiene una explicacion,,que la comida esta salada,,porque todo tiene una explicacion,,que abrazas muy bonito,,porque todo tiene una explicacion,,que los lapices no tienen sabor,,porque todo tiene una explicacion,,que los hornos se acercan,,porque todo tiene una explicacion,,el tren viaja a todas partes,,porque todo tiene una explicacion,,los dias corren contigo,,porque todo tiene una explicacion,,,
251,252,f,si. porque rima con el poema,,que su hermano es griton*,,gato porque es peludo,,NS,,como una linda y suave almohada,,hermosas de mucho color,,rojos y hermosos,,blanca y hermosa,,que va muy lento,,que pasan rapido,,que tiene ojos de color claro,,porque todo puede hacerse realidad,,porque son bolitas blancas,,porque existen en el mar,,pues eso no se puede porque  se romperia ,,no es posible el cristal se rompe,,tiene mucha sal,,que le hechan mucha sal,,que no es muy fuerte,,algunas personas no tienen mucha fuerza,,que saben feo,,no es posible o tal vez si pero en otro futuro si,,se acercan o algo,,no es posible los hornos no tienen vida,,se mueve a muchos lados ,,es posible porque lleva a personas a muchos lados,,que corren hacia algo que se creo,,los dias no corren solo avanzan ,,,
252,253,f,no. las pelotas no cantan,,que su hermano es griton*,,una persona porque suena como una persona,,pelota para jugar,,es un poco rasposa,,muy brillantes,,que no siente,,que no rie mucho,,el siente que es lento,,van muy rapido,,ojos hermosos,,porque muchos tienen los ojos asi,,eres muy hermosa,,porque si hay collares de perla,,escoba brillante,,no hay escobas de cristal,,la comida sabe feo,,por que aveces hay comida muy salada,,abrazos hermosos,,porque hay muchos abrazos suaves,,lapiz feo,,los lapices no tienen sabor,,hace mucho calor,,los hornos no cmainan,,el tren es rapido,,los trenes viajan por los viajes,,0,,no puedo saber el significado,,,
253,254,f,si. porque puede ser en mi imaginacion,,un hermanito chiquito es un bebe que llora por comida. leche o que le cambien el panal.,,conejo porque es peludo y lindo,,una pelota de plata es algo pesado,,mi piel es morenita y dura,,linda. huelen bien y de todos los colores,,son color rojo y laten porque significa que estas vivo,,una sonrisa muestra que estas feliz,,que pasa mu lento para que sea tu cumple,,que hay dias muy rapidos y otros lentos,,alguien te puede decir algo lindo de ti,,es posible porque un chico te diria algo lindo de ti,,te puede adornar para tu vestuario,,es posible seria una muestra de amistad,,una escoba de cristal seria un adorno en tu casa,,si es posible porque puede ser un adorno en tu casa o para barrer pero se romperia,,que le pusiste mucha sal a tu comida,,es posible te puede gustar mucho la sal,,alguien te da un abrazo muy lindo,,es posible alguien que te quiera mucho te da un lindo abrazo,,lapiz no tiene sabor,,un lapiz es para escribi no para comertelo,,un horno no se mueve,,un horno no puede caminar,,un tren es como un avion,,el tren es muy rapido y te lleva a donde decidas,,un dia puede pasar rapido,,un dia o una semana puede pasar rapido porque tu lo haces rapido,,,
254,255,f,no. ninguna pelota habla,,su hermano grita mucho,,NS,,un pelota muy brillante,,suave,,muy bonitas,,de color azul,,triste pero feliz,,que no lo hemos disfrutado,,que el tiempo vuela se pasa muy rapido,,que sus ojos son tan dulces y claros,,porque una persona puede tener ojos tan bellos que les dijeramos ojos de miel por dulces y claros,,es un collar que tiene un monton de joyas redondas hermosas,,porque las perlas las usan para anillos pendientes o collares para regalar,,una escoba que esta hecha de cristal muy hermosa y brillante,,no porque eso solo existiria en los cuentos de hadas,,un platillo al que lleva sal,,si porque muchos  platillos llevan sal y un poco mas de lo normal,,un abrazo que dan con carino,,porque un abrazo siempre es suave cuando lo dan con carino,,lapiz hecho de dulce,,un lapiz de dulce no puede escribir solo comer,,un horno que se acerca a las personas,,porque los hornos no caminan,,un tren que se hecho a andar,,un tren tiene que viajar para llegar a su destino,,que los dias siempre pasan volando ,,porque siempre los dias pasan y mas rapido  cuando se divierten,,,
255,256,f,si. porque a su mama le gusta cantar,,los ninos pequenos gritan mucho *,,mi cabeza es una pelota de pelos porque es. asi :),,"yo escribi: ""la brillantina es una pelota de plata""",,es suave ,,coloradas,,se refiere a un corazon que no ama,,es alegre ,,es un poco lento,,que el tiempo es oro,,que alguien tiene ojos dorados,,no es posible porque nadie puede tener los ojos asi,,collares brillantes ,,si es posible porque si hay collares brillantes,,que la escoba puede ser muy fragil,,no es posible porque la escoba se romperia facilmente,,que esta un poco amarga,,si es posible porque aveces se le pasa un poco de sal a la comida,,que alguna persona es tierna,,si es posible porque algunas personas son tiernas,,que ningun lapiz no tiene sabor,,si es posible porque ningun lapiz tiene sabor,,que calor se acerca,,si es posible porque se refiere a que el calor se acerca,,algo corre rapido,,es posible porque va un poco rapido,,que se te a hecho corta la semana,,si es posible porque se refiere que la semana se te ha hecho muy corta ,,,
256,257,f,si. porque es como si digieran el,,que grita mucho,,gato porque es peludo *,,significa una moneda porque es redonda,,blanca,,son doradas,,rojos y con blanco ,,que no sonrien bien,,que no pasan los dias rapidos,,que van bien rapido las horas,,ojos bonitos,,porque si me suena el significado,,un collar de una mujer,,porque si me suena el significado,,NS,,porque si me suena el significado,,que no sabe buena,,porque si me suena el significado,,NS,,porque no me suena el significado,,que no tiene punta,,porque si me suena el significado,,la habitacion se calienta,,porque si me suena el significado,,NN,,porque si me suena el significado,,NN,,porque si me suena el significado,,,
257,258,f,no. porque no la conteste,,su hermano grita mucho *,,NS,,NS,,suave ,,huelen muy bonito,,rojos y bonitos,,muy bonita,,NS,,que los segundos se van muy rapido,,que algunos pueden terner los ojos de miel,,si porque se ve muy bonito y el color es bonito,,que son muy bonitos y brillantes,,si porque son bonitas y brillantes,,no pueden ser escobas de cristal ,,no puedes hacer nada ,,la sal es buena. pero no debes poner mucha,,no porque es muy mala para la salud,,los abrazos son fuertes,,los abrazos son fuertes,,los lapices no tienen sabor,,los lapices no tienen sabor,,los hornos no caminan ,,los hornos no caminan,,es bonito viajar en tren,,los trenes son para viajar,,los dias se van muy rapido,,los dias se me estan haciendo muy rapido,,,
258,259,f,si. porque compara a su familia,,mi hermano grita mucho,,un perro porque tiene mucho pelo,,yo le puse luna. porque  tiene un  color muy bonito como la plata,,muy delgada y fragil,,de un color dorado,,frios ,,una pequena sonrisa,,va muy lento,,que los segundos van muy rapido,,tienen los ojos de un color diferente,,porque se mezcla el color cafe y verde,,un collar de perlas que va en el cuello,,hay muchas perlas en el mar,,una escoba es muy bonita,,si fuera de cristal no se podria barrer,,que tiene mucha sal,,porque a veces se te puede ir de mas,,un abrazo no muy fuerte,,porque si no tienes tanta fuerza los abrazos los das suaves,,un lapiz que no sabe a nada ,,por que los lapices  no tiene sabor. a menos que sea de dulce,,los hornos no se pueden mover,,no se mueven por si solos,,si porque se mueve de un lugar a otro,,porque se mueve a traves de vias ,,pasa muy rapido el tiempo ,,pasa rapido el tiempo,,,
259,260,f,no. porque las pelotas no hablan,,que su hermano es gordito como una pelota y que su hermano grita mucho,,una pelota que se le pegaron pelos del piso *,,para el su pelota vale mucho como la plata,,morenita. fragil,,son cosas moradas. azules. rojas y amarillas,,bombean sangre y es lo que nos mantiene vivos,,calida bonita y expresa felicidad,,el ano es muy largo,,que los segundos van muy rapido,,ojos color claro como la miel,,porque no se escucharia bien y no se puede usar,,un collar hecho de perlas blancas,,no se puede responder por el tipo de pregunta ,,escobas fragiles,,como se escucharia. que significa,,tiene mucha sal y sabe feo,,en esta pregunta es posible comida salada? si o no,,un abrazo leve,,si. porque se pueden dar y casi nadie los da,,que el lapiz no tiene sabor,,no. porque el lapiz no se come,,que los hornos estan cerca,,si. porque al comprar un horno te lo llevan a tu casa,,el tren viaja a algun lado,,si. el tren va a muchos lados. no porque ya casi no hay tren,,los dias pasan muy rapido,,si porque la semana se fue  muy rapido,,,
260,261,f,si. todo rima,,que su hermanito grita mucho,,gato porque son peludos,,la luna,,0,,0,,0,,0,,0,,0,,no siento que sea posible,,unos ojos no pueden ser de miel ,,si siento que es posible,,porque las perlas se pueden juntar y hacer un collar,,no siento que es posible,,porque no  barrieran bien,,si siento que es posible,,si podemos comer comida salada,,si creo que es posible,,siempre han sido suaves,,si creo que es posible,,siempre no tendran sabor,,no creo que sea posible,,los hornos no se acercan,,si creo que sea posible,,los trenes si pueden viaja,,no creo que sea posible,,los dias no corren,,,
261,262,f,si. porque indica que a la mama le gusta cantar,,que su hermanito grita mucho,,oso de peluche porque tiene mucho pelo,,que la luna es de ese color,,0,,0,,0,,0,,0,,0,,ojos de color miel,,porque ojos de miel se caerian,,collares con bolitas blancas,,porque los collares de perlas si existen,,escoba de color transpatente,,escobas de cristal se romperian pero de adorno pueden ser,,comida con mucha sal,,la comida salada si existe,,una persona puede tener una piel suave y abrazarte,,si es posible. que tengan piel suave,,casi no tiene color,,es posible  un lapiz que casi no pinte,,el calor se acerca,,los hornos no pueden acercarse. pero el calor si ,,el tiempo se pasa,,el tren si puede viajar,,los dias pasan muy rapido,,los dias no pueden correr. pero si pasar rapido,,,
262,263,f,no. porque no lo entiendo,,que el grita mucho,,una mascota,,que brilla mucho ,,0,,0,,0,,0,,0,,0,,los ojos son de color de miel,, porque no puede haber miel en los ojos,,no hay collares de perlas,,que algunas perlas se utilizan para hacer collares,,la escoba limpia muy bien,,porque la escoba se quebraria si se usa,,la comida tiene mas sal de lo normal,,porque a veces se pasan de sal,,que los puedes dar con mucho carino,,porque no los puedes dar suaves,,no tienen punta,,porque no te comes los lapices,,que hace calor,,porque los hornos no cmainan,,el tren lleva personas o materiales,,porque si viajan,,que se pasan muy rapido los dias,,no tienen pies para correr,,,
263,264,f,no. porque las pelotas no hablan,,es que su hermanito es igual a una pelota que grita mucho,,un kiwi porque los kiwis son un poco redondos y tienen pelito por afuera,,luna porque la luna  es redonda y puede ser una pelota y plata porque puede ser blanca o plata,,0,,0,,0,,0,,0,,0,,ojos amarillos,,nadie puede tener ojos de miel,,collares con circulos blancos,,si se puede tener collares con circulos blancos,,estan hechas de material muy fino llamado cristal,,se romperian al utilizarse,,una comida que no es dulce,,si porque ya existe y lo unico que haces es hecharlee sal a una comida,,abrazos que los haces muy suavemente,,porque es dar un abrazo muy suave,,un lapiz que no tiene sabor,,ya existe y los lapices no saben a nada,,que los hornos para cocinar se mueven,,si porque es mover un horno de lugar,,el tren se mueve a diferentes partes,,si porque asi lo hace,,que los dias pasan muy rapido,,los dias no corren,,,
264,265,f,si. porque es fuego. plata y pelos..rima como pelota,,porque grita mucho. pero te agrega pelota,,un coco porque es redondo y tiene pelos,,una pelota de plata namas rima,,0,,0,,0,,0,,0,,0,,0,,porque no hay nada de ojos de miel,,un collar que compras y es muy bonito,,0,,0,,porque si no se romperianmuy rapido cuando barras ,,si hay comida salada rica y algunas veces no,,0,,una abrazo  como de algodon,,0,,0,,los lapices no tienen sabor como la fruta ,,0,,no pueden caminar paque veas la tele y cocine en la sala,,viaja a donde quieres ir,,0,,pasa rapido como el tiempo,,0,,,
265,266,f,si. porque suena a pelota,,que su hermano grita mucho *,,un pajaro,,que la hoja es de plata,,0,,0,,0,,0,,0,,0,,que tiene ojos de color miel,,puede nacer con ese color de ojos,,que es un collar de perlas,,si porque muchos hacen y tienen collares de perlas,,es una escoba de cristal,,no porque nadie tiene una y porque no existe ,,que es comida salada,,todos comen comida salada,,que son abrazos suaves,,son abrazos suaves,,es un lapiz de sabor,,no porque no existe,,que es un horno que no se acerca,,no porque los hornos no tienen pies ,,el tren viaja,,si porque lleva a las personas ,,los dias corren,,no corren porque no caminar,,,
266,267,f,si. porque rima con el poema,,que grita mucho,,una cabeza,,una planta es una pelota,,0,,0,,0,,0,,0,,0,,que tenga ojos de miel,,si porque puedes ponerte pupilentes,,un collar de perlas ,,porque el material es facil de conseguir,,una escoba de cristal,,no porque cuando barras se va a romper ,,un guisado,,si porque es comida ,,un abrazo a alguien,,si porque es hacia una persona,,un lapiz sin sabor,,no porque un lapiz si lo comes hace dano,,que si los hornos se mueven ,, no porque si no estuvieran n vivos,,un tren que te lleva,,si porque te lleva a donde quieras ,,la semana se va rapido,,que la semana se fue rapido,,,
267,268,f,no. porque las pelotas no hablan,,que su hermano llora mucho *,,su papa porque los hombres tienen pelos en las piernas y el pecho,,porque es muy fuerte,,0,,0,,0,,0,,0,,0,,que tus ojos son muy bonitos ,,no es posible porque alguien no puede tener ojos de miel,,que hay collares hechos de perlas ,,porque a un liston o hilo le pueden agregar perlas y amarrarlas o unirlas y ya ,,que es delicado ,,no es posible porque cuando barrieras se caerian los cristales o se romperian,,comida que tiene sal ,,porque en la actualidad existe ,,que abrazas suave ,,porque es posible si los abrazas delicadamente en vez de fuerte ,,0,,porque los lapices no se comen,,que cada vez hace mas calor ,,porque los hornos no tienen mano,,que esta moviendose de una ciudad a otra ,,porue lo que hacen los trenes es viajar  ,,que el tiempo pasa rapido,,no es posible porque el tiempo no corre pero si se nos puede pasar rapido ,,,
268,269,f,si. porque la mama puede cantar,,que su hermano grita mucho *,,una cabeza porque tiene pelos,,la plata puede ser una pelota pero de plata,,0,,0,,0,,0,,0,,0,,ojos  con miel,,no es posible  que alguien tenga  ojos de miel,,collares con perlas,,si es posible que un  collar tenga perlas,,escobas hechas de cristal,,alguien puede hacer escoba de cristal,,comida con sal,,si existe. todos comemos comida salada en la comida ,,abrazos que son  suaves,,abrazos si pueden ser suaves,,los lapices sin sabor ,,los lapices no tienen sabor ,,hornos  se mueven,,los hornos no se mueven ,,el tren viaja a lugares,,el tren puede viajar a muchos lugares ,,los dias pasan,,dias pasan  muy rapido,,,
269,270,f,si. porque la persona es una pelota que canta mucho,,mi hermano grita mucho *,,mi cabello porque esta hecho de pelos,,porque mi sarten esta hecho de plata,,0,,0,,0,,0,,0,,0,,que sus ojos estan llenos de miel,,yo no he visto a nadie con ojos de miel ,,que hay colares hechos de perlas,,porque mi amiga dijo que tiene un collar de perlas ,,que pueden ser escobas de cristal,,porque alguien puede crear una,,que hay comida salada,,hay comida salada que es del mar,,que hay abrazos que son suaves ,,porque si abrazas a un peluche que esta suave entonces es un abrazo suave ,,que no hay lapiz sin sabor,,porque noexiste un lapiz que tenga sabor ,,0,,0,,0,,0,,0,,0,,,
270,271,f,no. porque las pelotas no cantan,,que su hermano grita mucho *,,gato porque es peludo *,,que es algo importante,,0,,0,,0,,0,,0,,0,,es color de miel,,porque nadie va a tener ojos de miel ,,un collar de bolas blancas,,lo puedes traer puesto ,,escobo delicada,,porque se romperia de tan solo barrer ,,la comida con mucha sal ,,porque si tu quieres le puedes poner sal a tu comida,,no se puede. pero se puede dar uno suave,,no se puede,,lapiz que no pinta,,no tienen gustos,,los hornos no caminan ,, no tienen pies,,que el tren se aleja,,el tren se puede alejar,,los dias pasan muy rapido,,los dias no caminan,,,
271,272,f,si. porque se refiere a alguien que canta,,que su hermano grita mucho *,,pasto porque le sale mucho pasto y parece,,luna porque es plateada,,0,,0,,0,,0,,0,,0,,tus ojos son color miel,,porque pueden ser de color miel,,un collar es de perlas,,porque puede ser de perlas,,una escoba de cristal,,no puede ser de cristal la escoba ,,es salada,,porque la comida que tiene sal se le llam  salada,,que se dan abrazos muy suaves,,puedes dar un abrazo suave,,el lapiz tiene sabor,,porque los lapices no saben a nada,,los hornos son calientes,,porque no tienen ruedas,,el tren va a lugares,,el tren viaja en lugares diferentes,,los dias pasan ,,porque los dias pasan rapido,,,
272,273,f,no. porque las pelotas no hablan*,,qu tu hermano grita mucho*,,mi hermanita porque se enoja mucho,,el globo es una pelota de plata,,0,,0,,0,,0,,0,,0,,que tienes ojos decolor miel ,,porque personas tienen ojos de color miel y claros,,que hay colares de perlas,,porque en las tiendas existen collares de perlas,,las escobas son de cristal,,no existen las escobas de cristal,,hay comida con mucha sal,,algunas veces hacen la comida con mucha sal,,que abrazas muy suave,,las personas te pueden dar abrazos suaves y sin lastimarte,,que hay lapices que no tienen sabor,,porque existen  lapices que no tienen sabor,,que hornos  se  te acercan,,porque los hornos no se pueden acercar a tisin que los muevas,,que hay trenes que viajan,,porque existen trenes que van de una ciudad a otra por trenes ,,que los dias pasan muy rapido,,porque los dias pasan muy rapido ,,,
273,274,f,no.porque no cantan,,mi hermano grita mucho,,un perro esta cubierto de pelos,,muy valioso,,0,,0,,0,,0,,0,,0,,son ojos mas o menos amarillos,,si. ya los he visto,,son perlitas pequenas en un hilo,,yo tengo un collar de perlas,,una escoba de vidrio,,no las he visto,,un platillo que parece que tiene sal,,yo he comido comida salada,,una persona pone sus brazos alrededos de tu panza suavemente,,si me han dado abrazos,,los lapices son para escribir,,porque no se comen,,los hornos no se mueven ,,porque solo sirven para calentar comida,,el tren nos lleva a otros lugar,,yo he viajado en tren,,los dias pasan muy rapido,,yo he vivido muchos dias,,,
274,275,f,no. porque no tiene sentido,,que grita mucho*,,el cabello,,el nino,,0,,0,,0,,0,,0,,0,,es buena gente,,si porque hay buenas personas,,son collares valiosos,,hay collares valiosos,,escobas delicadas,,hay escobas delicadas,,muy salada,,si porque hay comida salada,,carino suave,,porque hay carinos suaves,,no tiene sabor,,no porque los lapices no saben,, se mueven los hornos,,no porque no se mueve,,el tren si se mueve,,el tren se mueve,,el tiempo pasa,,si porque el tiempo pasa,,,
275,276,f,no. porque las pelotas no cantan,,que grita mucho*,,una pelota que tiene pelitos porque tiene pelitos por todas partes,,que tiene una pelota de metal de plata,,0,,0,,0,,0,,0,,0,,que los ojos son de miel ,,porque se caeria la miel deslizandose por la cara,,que los collares estan hechos de perlas,,porque algunos collares son hechos de perlas,,que las escobas son de cristal,,no pueden barrer polvo o basura porque estan unidas solidamente,,que la comida tiene mucha sal,,alguien le puede poner demasiada sal a la comida,,que los abrazos no son tan fuertes,,tu puedes pedir de que fuerza sea el abrazo,,el lapiz no tiene sabor,,los lapices no se comen,,los hornos se acercan a nosotros,,porque los hornos no caminan,,el tren viaja de un lugar a otro,,porque puedes tomar un tren para viajar,,los dias pasan muy rapido,,los dias no tienen pies y no corren ,,,
276,277,f,no. porque las pelotas no cantan*,,que su hermano grita mucho *,,un gato. porque tiene pelos*,,un anillo porque son redondos como pelotas y algunos son de plata,,0,,0,,0,,0,,0,,0,,que son muy bonitos los ojos  ,,no es posible. porque los ojos te dolerian,,los collares tienen perlas,,si es posible porque pueden ser fabricados de perlas,,las escobas son utiles,,si es posible   ,,que la comida tiene mucha sal,,si es posible porqe le puedes hechar la sal que quieras a la comida,,que abraza muy lindo,,si es posible. puedes abrazar suavecito,,que no se come el lapiz,,no es posible. aunque no se comen ,,que los hornos son seres humanos,,los hornos no cmainan,,que el tren va a muchas partes,,si es posible los trenes van a muchas partes,,los dias van muy rapido,,no. porque no tienen piernas,,,
277,278,f,no. porque las pelotas no hablan*,,que su hermano llora mucho *,,perro. porque tienen mucho pelo*,,bandeja puede ser de plata,,suave,,bonitas,,pequenos,,alegre,,alegre,,cambia de ano cada 12 meses,,ojos bonitos,,porque no puedes tener ojos de miel,,un collar con perlas,,porque existen los collares de perlas,,una escoba con cristal,,tal vez alguien le ponga cristal a una escoba,,un tipo de comida,,porque existe la comida salada,,un abrazo no tan fuerte,,porque  existen los abrazos,,un lapiz que no tiene sabor,,los lapices si tienen sabor,,los hornos se estan acercando,,los hornos no se mueven,,el tren se mueve ,,porque el tren sirve para viajar,,los dias pasan,,los dias cambian,,,
278,279,f,si. porque la persona es una pelota que canta,,que su hermano grita mucho *,,leon. porque tienen mucho pelo*,,pues yo puse que el metal es plata,,la piel es cuave y color cremita ,,las flores son bonitas y huelen rico,,los corazones son rojos,,la sonrisa es cuando estas alegre,,el ano a mi se me pasa muy rapido,,que cada segundo se pasa muy rapido,,que tienes ojos bonitos,,si porque cualquiera puede tener ojos bonitos,,que hay collares bonitos,,si existen collares con diamantes o bonitos,,escoba con mucho vidrio y  brillo,,porque la escoba de cristal se puede romper muy facil,,puede haber comida con sal,,si existe comida salada,,un abrazo normal pero suave,,a veces los abrazos son magicos,,que los lapices no se comen,,no porque saben feos y no tiene sabor ,,los hornos no caminan ,,no porqu los  hrnos no caminan,,el tren te lleva a todos lados,,solo a los lugares que te lleven los trenes,,la semana se va rapido,,los dias pasan demasiado rapido,,,
279,280,f,no. porque las pelotas no cantan*,,mi hermano grita mucho,,pelota con hilos,,luna porque es redonda y es de plata,,esta enrredado,,son brillantes y estan limpios,,es muy agrdable y buena persona,,que no deja de sonreir,,se fue y vino la alegrria en e dia ,,que habffan cosas mejores,,que son brillantes,,el brillo del cristal y estrellas lo ocasionan,,que son de tela,,tela y terciopelo son sinonimos,,son pegajosos,,porque la miel es pegajosa,,es una estatua de piedra,,estatua y escultura es lo mismo,,que es muy resistente,,porque el hierro es fuerte y es en sentido figurado,,te hace sentir seguridad,,porque  abrigador se refiere a que se siente proteccion,,que llego la silla que compraste,,porque no se mueven y es en sentido figurado,,que estan corriendo,,si es posible que corran,,el tiempo es rapido,,porque sentimos que el tiempo pasa demasiado rapido,,,
280,281,f,no. porque las pelotas no hablan*,,mi hermano grita mucho,,gato. es peludo,,muy valioso,,duro,,brillosos y limpios ,,buena con las personas,,fria,,ya paso,,que pasaras algun momento mejor del que ya pasaste.,,vidrio en forma de estrella,,en alguna tienda pueden vender estrellas de cristal,,una vestidura,,es lo que usamos para vestirnos,,la miel en forma de zapatos,,ponerte zapatos de miel es como estar descalzo,,una persona  o algo hecho de piedra,,las esculturas se pueden hacer de cualquier material,,una alma fuerte,,porque si tu eres valiente tienes un alma fuerte,,un abrigo de piedra,,no usamos abrigos de piedra,,la silla se mueve,,porque las sillas no caminan,,un deporte,,los atletas compiten en carreras,,que sobra tiempo,,porque muchas veces falta para que el tiempo se agote,,,
